"title","description","type","address","city","state","country","publication","year","notes","unclear.address","full.address","lon","lat","geoAddress","status","amenityfeatures"
"Cafe Gigi","(near Southfield)-Tel. 831-2604","Bars","16920 West Warren","Detroit","MI","United States","Gaia's Guide",1975,"",NA,"16920 West Warren, Detroit, MI",-83.2112501,42.3436482,"16920 w warren ave, detroit, mi 48228, usa","Google Verified Location",NA
"Palais Bar","","Bars","655 Beaubien","Detroit","MI","United States","Gaia's Guide",1975,"",NA,"655 Beaubien, Detroit, MI",-83.0415538,42.3330139,"655 beaubien blvd, detroit, mi 48226, usa","Google Verified Location",NA
"Conquest Lounge","","Bars","1500 East State Fair","Detroit","MI","United States","Gaia's Guide",1975,"",NA,"1500 East State Fair, Detroit, MI",-83.088758,42.4397377,"1500 e state fair ave, detroit, mi 48203, usa","Google Verified Location",NA
"Barbary Coast","near Lodge Freeway","Bars","2765 Grand River","Detroit","MI","United States","Gaia's Guide",1975,"",NA,"2765 Grand River, Detroit, MI",-83.0650955,42.3386991,"2765 grand river ave, detroit, mi 48201, usa","Google Verified Location",NA
"La Rosa's","","Bars","731 Bates","Detroit","MI","United States","Gaia's Guide",1975,"",NA,"731 Bates, Detroit, MI",-83.0446059,42.3322543,"731 bates st, detroit, mi 48226, usa","Google Verified Location",NA
"Gay Women's Lib","c/o ""A Woman's Place"", 606 S.E. Grand;97214 Tel. (503)223-8362","Organizations","606 S.E. Grand","Portland","OR","United States","Gaia's Guide",1975,"",NA,"606 S.E. Grand, Portland, OR",-122.6604691,45.5185737,"606 se grand ave, portland, or 97214, usa","Google Verified Location",NA
"Portland Gay Lib.","Tel. (503) 287-7894","Organizations","4226 North Montana Ave.","Portland","OR","United States","Gaia's Guide",1975,"",NA,"4226 North Montana Ave., Portland, OR",-122.6795583,45.5544249,"4226 n montana ave, portland, or 97217, usa","Google Verified Location",NA
"Zorba the Greek","","Bars","626 S.W. Park","Portland","OR","United States","Gaia's Guide",1975,"",NA,"626 S.W. Park, Portland, OR",-122.6801655,45.5197524,"626 sw park ave, portland, or 97205, usa","Google Verified Location",NA
"""316""","(formerly 'Tash's')","Bars","316 West Burnside","Portland","OR","United States","Gaia's Guide",1975,"",NA,"316 West Burnside, Portland, OR",-122.673696,45.522851,"316 w burnside st, portland, or 97209, usa","Google Verified Location",NA
"Dema's Tavern","222-5338","Bars","208 NW THird","Portland","OR","United States","Gaia's Guide",1975,"",NA,"208 NW THird, Portland, OR",-122.6729315,45.5247845,"208 nw 3rd ave, portland, or 97209, usa","Google Verified Location",NA
"Magic Garden","224-8472","Bars","217 NW Fourth","Portland","OR","United States","Gaia's Guide",1975,"",NA,"217 NW Fourth, Portland, OR",-122.674759,45.524796,"217 nw 4th ave, portland, or 97209, usa","Google Verified Location",NA
"""T.J's""","326-9368","Bars","3307 Mc Kinney.","Dallas","TX","United States","Gaia's Guide",1975,"",NA,"3307 Mc Kinney., Dallas, TX",-96.7962624,32.8094437,"blackburn st, dallas, tx 75204, usa","Google Verified Location",NA
"""Les Dames Room""","","Bars","2116 N. Field","Dallas","TX","United States","Gaia's Guide",1975,"",NA,"2116 N. Field, Dallas, TX",-96.8051518,32.786426,"2116 n field st, dallas, tx 75202, usa","Google Verified Location",NA
"""Lil Tiff's""","","Bars","2906 N. Henderson","Dallas","TX","United States","Gaia's Guide",1975,"",NA,"2906 N. Henderson, Dallas, TX",-96.7845843,32.8204348,"2906 n henderson ave, dallas, tx 75206, usa","Google Verified Location",NA
"""The Vapors""","823-0372","Bars","5334 Lemmon.","Dallas","TX","United States","Gaia's Guide",1975,"",NA,"5334 Lemmon., Dallas, TX",-96.8225658,32.8269061,"5334 lemmon ave, dallas, tx 75209, usa","Google Verified Location",NA
"""Bev's""","Tel. 526-9036","Bars","4737 Maple.","Dallas","TX","United States","Gaia's Guide",1975,"",NA,"4737 Maple., Dallas, TX",-96.8264918,32.8142201,"4737 maple ave, dallas, tx 75219, usa","Google Verified Location",NA
"""J's""","742-0897","Bars","1800 N. Harvard","Dallas","TX","United States","Gaia's Guide",1975,"",NA,"1800 N. Harvard, Dallas, TX",-96.7852337,32.8271884,"1800 harvard ave, dallas, tx 75205, usa","Google Verified Location",NA
"""Joe's Other Place""","3019 N. Haskell","Bars","3019 N. Haskell","Dallas","TX","United States","Gaia's Guide",1975,"",NA,"3019 N. Haskell, Dallas, TX",-96.7936498,32.807254,"3019 n haskell ave., dallas, tx 75204, usa","Google Verified Location",NA
"The Highland Lounge","Tel. 526-9551","Bars","3018 Monticello.","Dallas","TX","United States","Gaia's Guide",1975,"",NA,"3018 Monticello., Dallas, TX",-96.7847478,32.8267724,"3018 monticello ave, dallas, tx 75205, usa","Google Verified Location",NA
"""Ronsue's""","526-9333","Bars","3236 Mc Kinney.","Dallas","TX","United States","Gaia's Guide",1975,"",NA,"3236 Mc Kinney., Dallas, TX",-96.7962624,32.8094437,"blackburn st, dallas, tx 75204, usa","Google Verified Location",NA
"""Entire Nuit""","(rear door). Tel. 823-0423","Bars","3116 Live Oak","Dallas","TX","United States","Gaia's Guide",1975,"",NA,"3116 Live Oak, Dallas, TX",-96.7855669,32.7914102,"3116 live oak st, dallas, tx 75204, usa","Google Verified Location",NA
"The Castle","","Bars","3019 N. Haskell","Dallas","TX","United States","Gaia's Guide",1975,"",NA,"3019 N. Haskell, Dallas, TX",-96.7936498,32.807254,"3019 n haskell ave., dallas, tx 75204, usa","Google Verified Location",NA
"Feminist Women's Health Clinic","Tel 892 7790 VD Clinic and self help","Clinic","2445 West 8 Mile","Detroit","MI","United States","Gaia's Guide",1977,"",NA,"2445 West 8 Mile, Detroit, MI",-83.1274679,42.446095,"2445 eight mile w, highland park, mi 48203, usa","Google Verified Location",NA
"Dignity","Tel 894 1064","Religious Group","2846 17th Street","Detroit","MI","United States","Gaia's Guide",1977,"",NA,"2846 17th Street, Detroit, MI",-83.0817265,42.3343546,"2846 17th st, detroit, mi 48216, usa","Google Verified Location",NA
"M.C.C.","Tel 868 2122 and 869 8159 Their publication The Way","Religious Group","13100 Woodward Ave","Detroit","MI","United States","Gaia's Guide",1977,"",NA,"13100 Woodward Ave, Detroit, MI",-83.0935996,42.4014264,"13100 woodward ave, highland park, mi 48203, usa","Google Verified Location",NA
"Gayly Speaking","Thursdays at 11:30pm Lesbian Radio. Collective: Tel 867 5764 and 963 7193","Radio and Television","5035 Woodward","Detroit","MI","United States","Gaia's Guide",1977,"",NA,"5035 Woodward, Detroit, MI",-83.0646899,42.3570965,"5035 woodward ave, detroit, mi 48202, usa","Google Verified Location",NA
"Amiga's","","Bar","19326 Conant","Detroit","MI","United States","Gaia's Guide",1977,"",NA,"19326 Conant, Detroit, MI",-83.0755854,42.4359017,"19326 conant, detroit, mi 48234, usa","Google Verified Location",NA
"Gold Coast","Tel 963 7193","Bar","2971 East 7 Mile Road","Detroit","MI","United States","Gaia's Guide",1977,"",NA,"2971 East 7 Mile Road, Detroit, MI",-83.0725873,42.4331029,"2971 seven mile e, detroit, mi 48234, usa","Google Verified Location",NA
"Cafe Gigi","Near Southfield. Tel 831 2604","Bar","16920 West Warren","Detroit","MI","United States","Gaia's Guide",1977,"",NA,"16920 West Warren, Detroit, MI",-83.2112501,42.3436482,"16920 w warren ave, detroit, mi 48228, usa","Google Verified Location",NA
"Palais Bar","Tel 964 8374","Bar","855 Beaubien","Detroit","MI","United States","Gaia's Guide",1977,"",NA,"855 Beaubien, Detroit, MI",-83.0419708,42.3337308,"855 beaubien blvd, detroit, mi 48226, usa","Google Verified Location",NA
"Conquest Lounge","Tel 891 9759","Bar","1500 East State Fair","Detroit","MI","United States","Gaia's Guide",1977,"",NA,"1500 East State Fair, Detroit, MI",-83.088758,42.4397377,"1500 e state fair ave, detroit, mi 48203, usa","Google Verified Location",NA
"Casbah","Tel 837 6379","Bar","14701 Plymouth at Hubble","Detroit","MI","United States","Gaia's Guide",1977,"",NA,"14701 Plymouth at Hubble, Detroit, MI",-83.1890252,42.3725875,"14701 plymouth rd, detroit, mi 48227, usa","Google Verified Location",NA
"George's Inca Room","","Bar","13314 Jenkell","Detroit","MI","United States","Gaia's Guide",1977,"",NA,"13314 Jenkell, Detroit, MI",-83.0457538,42.331427,"detroit, mi, usa","Google Verified Location",NA
"Let's Be An Apple Pie","Tel 517 484 3475 and 353 9488 We now have a pool table a good one.","Organization","427 Spring St","Detroit","MI","United States","Gaia's Guide",1977,"",NA,"427 Spring St, Detroit, MI",-82.9689585,42.4280306,"spring garden st, detroit, mi 48205, usa","Google Verified Location",NA
"Joe Covello's","At Larch. Tel 517 482 4577, Very highly recommended for gay women.","Bar","533 535 East Michigan Ave","Detroit","MI","United States","Gaia's Guide",1977,"",NA,"533 535 East Michigan Ave, Detroit, MI",-83.0457538,42.331427,"detroit, mi, usa","Google Verified Location",NA
"Portland Town Council","room 303 Tel 503 227 2765 Office, library, regular meetings, social and political activities, referrals and education. Their publication ""Gay Rights - 77 free upon request.","Organization","320 SW Stark","Portland","OR","United States","Gaia's Guide",1977,"",NA,"320 SW Stark, Portland, OR",-122.6750329,45.5202827,"oregon pioneer building, 320 sw harvey milk st, portland, or 97204, usa","Google Verified Location",NA
"Women's Place and Resource Center","Tel 503 234 7044 Lesbian rap groups and all woman's school.","Organization","1915 NE Everett","Portland","OR","United States","Gaia's Guide",1977,"",NA,"1915 NE Everett, Portland, OR",-122.6460632,45.5252155,"1915 ne everett st, portland, or 97232, usa","Google Verified Location",NA
"Tash's","","Bar","316 W Burnside","Portland","OR","United States","Gaia's Guide",1977,"",NA,"316 W Burnside, Portland, OR",-122.673696,45.522851,"316 w burnside st, portland, or 97209, usa","Google Verified Location",NA
"Rising Moon","Tel 503 223 0363","Bar","413 W Burnside","Portland","OR","United States","Gaia's Guide",1977,"",NA,"413 W Burnside, Portland, OR",-122.6747696,45.5233632,"413 w burnside st, portland, or 97209, usa","Google Verified Location",NA
"Mountain Moving Cafe","Tel 503 236 7541 Women's nights open 11am-11pm","Feminist Coffeehouse","532 SE 39th","Portland","OR","United States","Gaia's Guide",1977,"",NA,"532 SE 39th, Portland, OR",-122.6230627,45.5191352,"532 se 39th ave, portland, or 97214, usa","Google Verified Location",NA
"The Water Closet","at Washington","Bar","426 SW 4th","Portland","OR","United States","Gaia's Guide",1977,"",NA,"426 SW 4th, Portland, OR",-122.6754462,45.5200286,"426 sw 4th ave, portland, or 97204, usa","Google Verified Location",NA
"Incredble Edibles","Upstairs Great Atmosphere","Restaurants","208 NW Couch","Portland","OR","United States","Gaia's Guide",1977,"",NA,"208 NW Couch, Portland, OR",-122.672647,45.523714,"208 nw couch st, portland, or 97209, usa","Google Verified Location",NA
"Zorba The Greek","Tel 502 227 0867","Bar","626 SW Park","Portland","OR","United States","Gaia's Guide",1977,"",NA,"626 SW Park, Portland, OR",-122.6801655,45.5197524,"626 sw park ave, portland, or 97205, usa","Google Verified Location",NA
"The Barrel","Tel 823 0408","Bar","2406 N Fitzhugh","Dallas","TX","United States","Gaia's Guide",1977,"",NA,"2406 N Fitzhugh, Dallas, TX",-96.7822064,32.8115133,"2406 n fitzhugh ave, dallas, tx 75206, usa","Google Verified Location",NA
"Olive Brance Saloon","Tel 823 0921","Bar","2822 McKinney Ave","Dallas","TX","United States","Gaia's Guide",1977,"",NA,"2822 McKinney Ave, Dallas, TX",-96.800729,32.7992913,"2822 mckinney ave, dallas, tx 75204, usa","Google Verified Location",NA
"T.J.'s","Entertainment pool table and dancing","Bar","3307 McKinney","Dallas","TX","United States","Gaia's Guide",1977,"",NA,"3307 McKinney, Dallas, TX",-96.7994944,32.8044838,"3307 mckinney ave, dallas, tx 75204, usa","Google Verified Location",NA
"Bachelor Quarters","","Bar","1225 Skiles","Dallas","TX","United States","Gaia's Guide",1977,"",NA,"1225 Skiles, Dallas, TX",-96.7853102,32.791118,"1225 skiles st, dallas, tx 75204, usa","Google Verified Location",NA
"Act III","","Bar","3115 Live Oak","Dallas","TX","United States","Gaia's Guide",1977,"",NA,"3115 Live Oak, Dallas, TX",-96.7861181,32.7917271,"3115 live oak st, dallas, tx 75204, usa","Google Verified Location",NA
"Entre Nuit","Tel 823 0423 rear door","Bar","3116 Live Oak","Dallas","TX","United States","Gaia's Guide",1977,"",NA,"3116 Live Oak, Dallas, TX",-96.7855669,32.7914102,"3116 live oak st, dallas, tx 75204, usa","Google Verified Location",NA
"Bon Soir","","Bar","4527 Cole","Dallas","TX","United States","Gaia's Guide",1977,"",NA,"4527 Cole, Dallas, TX",-96.7896255,32.8227541,"4527 cole ave, dallas, tx 75205, usa","Google Verified Location",NA
"Crew Inn","","Bar","3220 Fitzhugh","Dallas","TX","United States","Gaia's Guide",1977,"",NA,"3220 Fitzhugh, Dallas, TX",-96.7931082,32.8173322,"3220 n fitzhugh ave, dallas, tx 75204, usa","Google Verified Location",NA
"Encore","","Bar","4516 McKinney","Dallas","TX","United States","Gaia's Guide",1977,"",NA,"4516 McKinney, Dallas, TX",-96.7878538,32.8214877,"4516 mckinney ave, dallas, tx 75205, usa","Google Verified Location",NA
"Lady Love","48203. ""Extremely pleasant interior, lots of plants and graphics. Small comfortable and very highly recommended."" New in may, 1978.","Bars","5 W 7 Mile Rd","Detroit","MI","United States","Gaia's Guide",1979,"",NA,"5 W 7 Mile Rd, Detroit, MI",-83.1025699,42.4321145,"5 seven mile w, detroit, mi 48203, usa","Google Verified Location",NA
"Amiga's","Tel. 891-9719. Open: 6pm-2am.","Bars","19326 Conant","Detroit","MI","United States","Gaia's Guide",1979,"",NA,"19326 Conant, Detroit, MI",-83.0755854,42.4359017,"19326 conant, detroit, mi 48234, usa","Google Verified Location",NA
"Casbah","48227. Tel. 837-6379. Open: 7pm-2am. Very popular women's bar. Disco on Wednesdays, Fridays and Saturdays. Pool table and other games. very highly recommended.","Bars","14701 Plymouth Rd","Detroit","MI","United States","Gaia's Guide",1979,"",NA,"14701 Plymouth Rd, Detroit, MI",-83.1890252,42.3725875,"14701 plymouth rd, detroit, mi 48227, usa","Google Verified Location",NA
"Gold Coast","Tel. 891-9665. Open: 7pm-2am.","Showbar","2971 E 7 Mile Rd","Detroit","MI","United States","Gaia's Guide",1979,"",NA,"2971 E 7 Mile Rd, Detroit, MI",-83.0725873,42.4331029,"2971 seven mile e, detroit, mi 48234, usa","Google Verified Location",NA
"La Palais Bar","Tel. 964-8374.","Bars","655 Beaubien","Detroit","MI","United States","Gaia's Guide",1979,"",NA,"655 Beaubien, Detroit, MI",-83.0415538,42.3330139,"655 beaubien blvd, detroit, mi 48226, usa","Google Verified Location",NA
"Menjo's","Big disco. Recommended.","Bars","928 W McNichols","Detroit","MI","United States","Gaia's Guide",1979,"",NA,"928 W McNichols, Detroit, MI",-83.1153867,42.4178367,"928 w mcnichols rd, detroit, mi 48203, usa","Google Verified Location",NA
"Hershelf Wimmins Books & Crafts","Highland Park; 48203. Tel. (313) 869-4045. Open: Wed-Sat. 2-7pm; Sun. noon-5pm. "" A collectively-run bookstore of books, posters, publications, records, buttons, t-shirts for and by women. Also, a resource file, newsletter and calendar of local events. Childcare provided for all work and events."" Lesbians are involved in the running of the store and they invite all lesbians to the events they sponsor.","Feminist Bookstore","2 Highland","Detroit","MI","United States","Gaia's Guide",1979,"",NA,"2 Highland, Detroit, MI",-83.0919213,42.3979739,"2 highland st, highland park, mi 48203, usa","Google Verified Location",NA
"Portland Town Counsil","Room 506; 97204. Tel. (503) 227-2765. Office, library, regular meetings, social and political activities, referrals and education. Their publ: 'Gay Rights' free upon request, has monthly events calendar.","Organization and Service","320 SW Stark","Portland","OR","United States","Gaia's Guide",1979,"",NA,"320 SW Stark, Portland, OR",-122.6750329,45.5202827,"oregon pioneer building, 320 sw harvey milk st, portland, or 97204, usa","Google Verified Location",NA
"Women's Place and Resource Center","97232. Tel. (503) 234-7044. Lesbian rap groups and all women school.","Organization and Service","1915 NE Everett","Portland","OR","United States","Gaia's Guide",1979,"",NA,"1915 NE Everett, Portland, OR",-122.6460632,45.5252155,"1915 ne everett st, portland, or 97232, usa","Google Verified Location",NA
"Rising Moon","97209. Tel. 223-0363. Open: 6:30pm-2:30am daily. ""We serve a variety of sandwiches, including a vegie, fruit juices, chips, etc. We have disco dancing Friday and Saturday nites from 9:30pm (50 cent cover charge), 2 pool tables (free pool between 6:30 and 8:30 pm Friday and Saturday nites and all nite Sundays), pin ball, football. We do community benefits, dance marathons and sponsor a softball team. Occasional entertainment. We are a pretty mellow bar during the week and usually crowded at weekends because of the disco. We have a cross-section of women from political to professional. We feel that women can be as comfortable here as they choose to be."" Highly recommended.","Bars","413 W. Burnside","Portland","OR","United States","Gaia's Guide",1979,"",NA,"413 W. Burnside, Portland, OR",-122.6747696,45.5233632,"413 w burnside st, portland, or 97209, usa","Google Verified Location",NA
"Darcelle XV Tavern","Tel. 222-5338. Open: 11am-2:30am Mon-Fri; 4:30pm-2:30am Sat and Sun. Shows.","Bars","208 NW 3rd St","Portland","OR","United States","Gaia's Guide",1979,"",NA,"208 NW 3rd St, Portland, OR",-122.7873187,45.5986823,"nw 3rd st, portland, or 97231, usa","Google Verified Location",NA
"Magic Garden","","Bars","217 NW 4th Ave","Portland","OR","United States","Gaia's Guide",1979,"",NA,"217 NW 4th Ave, Portland, OR",-122.674759,45.524796,"217 nw 4th ave, portland, or 97209, usa","Google Verified Location",NA
"Wilde Oscar's","(Bar/Restaurant), 318 SW 3rd Avenue; 97201. Tel. 223-8620. Open: Mon-Fri: 11am-1am; Sat: Noon-2:30am; Sunday; 4pm-midnite. ""We serve high quality, varied menu. Each order is done individually. Such specialities as French onion soup, English pork pies, beef cornish pasties and hot seafood sandwiches. Pool table. Outdoor courtyard in warm weather. Chequers, chess and cribbage. Wilde Oscar's specializes in good pub-style food mellow music (folk, classical, jazz) and a highly conversational, relaxed atmosphere. We boast a vintage turn-of-the-century oak bar in tasteful ambience."" Gay community minded and very highly recommended.","Restaurants","318 SW 3rd ave","Portland","OR","United States","Gaia's Guide",1979,"",NA,"318 SW 3rd ave, Portland, OR",-122.6741189,45.5205558,"318 sw 3rd ave, portland, or 97204, usa","Google Verified Location",NA
"Rhondee's","","Restaurants","1014 SW Stark","Portland","OR","United States","Gaia's Guide",1979,"",NA,"1014 SW Stark, Portland, OR",-122.681617,45.522011,"1014 sw harvey milk st, portland, or 97205, usa","Google Verified Location",NA
"Dahl & Penne's","(at Alder). Tel. 228-7469. Shows, pin ball, pool table, future plans include stage shows.","Bars","604 SW 2nd","Portland","OR","United States","Gaia's Guide",1979,"",NA,"604 SW 2nd, Portland, OR",-122.6742664,45.5185256,"604 sw 2nd ave, portland, or 97204, usa","Google Verified Location",NA
"Zorba's","97205. Tel. 227-0867. Open: 6pm-2:30am. ""My establishment is mixed gay women and men and that's the way it should be in all gay bars. We are all in this gay life together and we should should work together..."" No full dinners as yet, just sandwiches for now. Dancing, pool table, future plans include stage shows.","Bars","626 SW Park Ave","Portland","OR","United States","Gaia's Guide",1979,"",NA,"626 SW Park Ave, Portland, OR",-122.6801655,45.5197524,"626 sw park ave, portland, or 97205, usa","Google Verified Location",NA
"Mountain Moving Cafe","97215. Tel. 236-7541. Open: Thurs Sun: 11am-11pm; Sunday Brunch: 10am-1pm. ""Nice atmosphere, live music and assorted types of entertainmetn. We welcome gay people- we are a collective of lesbian women."" Vegetarian menu, dancing, films, speakers, poetry kids nite (Fridays).","Feminist Coffeehouse","532 SE 39th St","Portland","OR","United States","Gaia's Guide",1979,"",NA,"532 SE 39th St, Portland, OR",-122.6230627,45.5191352,"532 se 39th ave, portland, or 97214, usa","Google Verified Location",NA
"The Embers","","Restaurants","739 SW Park","Portland","OR","United States","Gaia's Guide",1979,"",NA,"739 SW Park, Portland, OR",-122.681,45.519154,"739 sw park ave, portland, or 97205, usa","Google Verified Location",NA
"A Woman's Place Bookstore","97205. Tel. (503) 226-0848. ""We sell books periodicals, posters, records, buttons, notecards and more. Also, a free lending library; referrals and bulletin board with monthly newsletter, bookvan; space for women to enjoy but since we are a business, law says we cannot turn men away though sometimes we do."" Their newsletter: 'Women's Place', monthly.","Bookstores","1300 SW Washington","Portland","OR","United States","Gaia's Guide",1979,"",NA,"1300 SW Washington, Portland, OR",-122.68491,45.52206,"1300 sw washington st, portland, or 97205, usa","Google Verified Location",NA
"Portland Thrift Center","(S.E. 26th and Clinton). Tel. 232-2699. ""We have a huge supply of clothing, books, albums, small appliances, household items.""","Shop","4609 11 SE Hawthorne","Portland","OR","United States","Gaia's Guide",1979,"",NA,"4609 11 SE Hawthorne, Portland, OR",-122.6654605,45.5123972,"11 se hawthorne blvd, portland, or 97214, usa","Google Verified Location",NA
"T.J.'s","Tel. 526-9368. Entertainment, pool table, dancing.","Bars","3307 McKinney","Dallas","TX","United States","Gaia's Guide",1979,"",NA,"3307 McKinney, Dallas, TX",-96.7994944,32.8044838,"3307 mckinney ave, dallas, tx 75204, usa","Google Verified Location",NA
"The Old Plantation","Tel. (214) 651-1988. A super-disco. Recommended.","Bars","1807 N Hardwood","Dallas","TX","United States","Gaia's Guide",1979,"",NA,"1807 N Hardwood, Dallas, TX",-96.800825,32.787807,"1807 n harwood st, dallas, tx 75215, usa","Google Verified Location",NA
"Sassy's","Recommended.","Bars","4516 McKinney","Dallas","TX","United States","Gaia's Guide",1979,"",NA,"4516 McKinney, Dallas, TX",-96.7878538,32.8214877,"4516 mckinney ave, dallas, tx 75205, usa","Google Verified Location",NA
"Jug's","","Bars","3218 N Fitzhugh","Dallas","TX","United States","Gaia's Guide",1979,"",NA,"3218 N Fitzhugh, Dallas, TX",-96.7931565,32.8169322,"3218 n fitzhugh ave, dallas, tx 75204, usa","Google Verified Location",NA
"Entre Nuit","(rear door). Tel. 823-0423.","Bars","3116 Live Oak","Dallas","TX","United States","Gaia's Guide",1979,"",NA,"3116 Live Oak, Dallas, TX",-96.7855669,32.7914102,"3116 live oak st, dallas, tx 75204, usa","Google Verified Location",NA
"Crews Inn","Tel. 526-9320.","Bars","3220 Fitzhugh","Dallas","TX","United States","Gaia's Guide",1979,"",NA,"3220 Fitzhugh, Dallas, TX",-96.7931082,32.8173322,"3220 n fitzhugh ave, dallas, tx 75204, usa","Google Verified Location",NA
"Bon Soir","","Bars","4527 Cole","Dallas","TX","United States","Gaia's Guide",1979,"",NA,"4527 Cole, Dallas, TX",-96.7896255,32.8227541,"4527 cole ave, dallas, tx 75205, usa","Google Verified Location",NA
"GAYLINE","Tel(313)315-4180.Daily recorded news events.","Services","write, 940 West Mc Nichols","Detroit","MI","United States","Gaia's Guide",1981,"",NA,"write, 940 West Mc Nichols, Detroit, MI",-83.115386,42.417851,"940 w mcnichols rd, detroit, mi 48203, usa","Google Verified Location",NA
"Lady Love","Extremely pleasant interior, lots of plants and graphics. Small, comfortable and highly recommended. Sunday brunch: noon-3pm.","Bars","5, West Seven Mile","Detroit","MI","United States","Gaia's Guide",1981,"",NA,"5, West Seven Mile, Detroit, MI",-83.1025699,42.4321145,"5 seven mile w, detroit, mi 48203, usa","Google Verified Location",NA
"Amigas","","Bars","19326 Conant","Detroit","MI","United States","Gaia's Guide",1981,"",NA,"19326 Conant, Detroit, MI",-83.0755854,42.4359017,"19326 conant, detroit, mi 48234, usa","Google Verified Location",NA
"Escape Disco Lounge","","Bars","15606 Joy","Detroit","MI","United States","Gaia's Guide",1981,"",NA,"15606 Joy, Detroit, MI",-83.0457538,42.331427,"detroit, mi, usa","Google Verified Location",NA
"Gold Coast","","Bars","2971 East 7 Mile Road","Detroit","MI","United States","Gaia's Guide",1981,"",NA,"2971 East 7 Mile Road, Detroit, MI",-83.0725873,42.4331029,"2971 seven mile e, detroit, mi 48234, usa","Google Verified Location",NA
"Hamburger Mary’s","highly recommended good, gay restaurant.","Restaurants","—corner of South West 9th/Taylor","Portland","OR","United States","Gaia's Guide",1981,"",NA,"—corner of South West 9th/Taylor, Portland, OR",-122.6880822,45.46095,"sw 9th dr, portland, or 97219, usa","Google Verified Location",NA
"Dahl & Penne's","Tel.228-7469.","Bars","604 S.W. 2nd (at Adler)","Portland","OR","United States","Gaia's Guide",1981,"",NA,"604 S.W. 2nd (at Adler), Portland, OR",-122.6742664,45.5185256,"604 sw 2nd ave, portland, or 97204, usa","Google Verified Location",NA
"Jonah's","Tel.245-2188.","Restaurants","7425 South West Barbur","Portland","OR","United States","Gaia's Guide",1981,"",NA,"7425 South West Barbur, Portland, OR",-122.6862447,45.4714424,"7425 sw barbur blvd, portland, or 97219, usa","Google Verified Location",NA
"Kachina's","""Mixed drinks/pool
table/pin-ball — good music and excellent food.""","Bars","1131 South West Stark","Portland","OR","United States","Gaia's Guide",1981,"",NA,"1131 South West Stark, Portland, OR",-122.682793,45.522662,"1131 sw harvey milk st, portland, or 97205, usa","Google Verified Location",NA
"The Embers","Tel.223-8620.","Restaurants","739 S.W. Park","Portland","OR","United States","Gaia's Guide",1981,"",NA,"739 S.W. Park, Portland, OR",-122.681,45.519154,"739 sw park ave, portland, or 97205, usa","Google Verified Location",NA
"Wildes Oscar's","Tel. 223-8620.Open air theater plus women’s groups.","Restaurants","318 S.W. 3rd Avenue, 97201","Portland","OR","United States","Gaia's Guide",1981,"",NA,"318 S.W. 3rd Avenue, 97201, Portland, OR",-122.6741189,45.5205558,"318 sw 3rd ave, portland, or 97204, usa","Google Verified Location",NA
"Portland Town Council","Tel. (503) 277-2765. The emphasis is on the political: gay civil rights/military and veterans rights included. Their publiction is OREGON GAY RIGHTS REPORT Membership 1s $20.00 per year or just $5.00 for the publication.","Organisation and Services","320 S.W. Stark, 97204","Portland","OR","United States","Gaia's Guide",1981,"",NA,"320 S.W. Stark, 97204, Portland, OR",-122.6750329,45.5202827,"oregon pioneer building, 320 sw harvey milk st, portland, or 97204, usa","Google Verified Location",NA
"Aaron's Place","Tel. 232-7839. Lunch/dlnner/fireplace and pool tables. Disco 9pm- 2:30am. Gay women and men. Recommended. After hours dancing and","Bar/Restaurant","South East 35th Place and Division","Portland","OR","United States","Gaia's Guide",1981,"",NA,"South East 35th Place and Division, Portland, OR",-122.6783853,45.515232,"portland, or, usa","Google Verified Location",NA
"Women's Place & Resource Centre","Tel.(503)234-7044.","Organisation and Services","1915 N.E. Everett, 97323","Portland","OR","United States","Gaia's Guide",1981,"",NA,"1915 N.E. Everett, 97323, Portland, OR",-122.6460632,45.5252155,"1915 ne everett st, portland, or 97232, usa","Google Verified Location",NA
"Roxy Heart's","A highly recommended good, gay restaurant.","Restaurants","1121 South West Stark","Portland","OR","United States","Gaia's Guide",1981,"",NA,"1121 South West Stark, Portland, OR",-122.6824975,45.5225977,"1121 sw harvey milk st, portland, or 97205, usa","Google Verified Location",NA
"Metropolitan Community Church/Portland","Tel.(503)281-8868.The Christian Church with an outreach to the gay community. Social activities as well as religious counseling and referrals. Their publications is: THE CHALICE and they sell GAIA'S GUIDE.","Groups","N.E. 24th & Broadway, 97232","Portland","OR","United States","Gaia's Guide",1981,"",NA,"N.E. 24th & Broadway, 97232, Portland, OR",NA,NA,NA,"Google Verified Location",NA
"Rafter’s","Gay disco + EMBERS Bar & Lounge","Bars","#NAME?","Portland","OR","United States","Gaia's Guide",1981,"",NA,"#NAME?",-122.6783853,45.515232,"portland, or, usa","Google Verified Location",NA
"A Woman’s Place Bookstore","Tel. (503)226-0848. Books plus periodicals, buttons, posters, records. Community referral center with bulletin board and free lending library. A good place to go when new to the scene in Portland. They sell GAIA’S GUIDE.","Feminist Bookstore","1300 South West Washington, 97205","Portland","OR","United States","Gaia's Guide",1981,"",NA,"1300 South West Washington, 97205, Portland, OR",-122.68491,45.52206,"1300 sw washington st, portland, or 97205, usa","Google Verified Location",NA
