"publication","year","pub.count","city","state","country","geocode.value","lon","lat","geoAddress","count","relative.percentage"
"Bob Damron's Address Book",1983,452,"Cheyenne","WY","United States","Cheyenne, WY, United States",-104.8202462,41.1399814,"cheyenne, wy, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Chicago","IL","United States","Chicago, IL, United States",-87.6297982,41.8781136,"chicago, il, usa",9,1.99115044247788
"Bob Damron's Address Book",1983,452,"Chicopee","MA","United States","Chicopee, MA, United States",-72.6078672,42.1487043,"chicopee, ma, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Cincinnati","OH","United States","Cincinnati, OH, United States",-84.5120196,39.1031182,"cincinnati, oh, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Clearwater","FL","United States","Clearwater, FL, United States",-82.8001026,27.9658533,"clearwater, fl, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Cleveland","OH","United States","Cleveland, OH, United States",-81.6943605,41.49932,"cleveland, oh, usa",6,1.32743362831858
"Bob Damron's Address Book",1983,452,"Colorado Springs","CO","United States","Colorado Springs, CO, United States",-104.8213634,38.8338816,"colorado springs, co, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Columbia","SC","United States","Columbia, SC, United States",-81.0348144,34.0007104,"columbia, sc, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Columbus","OH","United States","Columbus, OH, United States",-82.9987942,39.9611755,"columbus, oh, usa",4,0.884955752212389
"Bob Damron's Address Book",1983,452,"Cortland","NY","United States","Cortland, NY, United States",-76.1804843,42.6011813,"cortland, ny 13045, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Culver City","CA","United States","Culver City, CA, United States",-118.3964665,34.0211224,"culver city, ca, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Cupertino","CA","United States","Cupertino, CA, United States",-122.0321823,37.3229978,"cupertino, ca, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Dallas","TX","United States","Dallas, TX, United States",-96.7969879,32.7766642,"dallas, tx, usa",6,1.32743362831858
"Bob Damron's Address Book",1983,452,"Dayton","OH","United States","Dayton, OH, United States",-84.1916069,39.7589478,"dayton, oh, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Daytona Beach","FL","United States","Daytona Beach, FL, United States",-81.0228331,29.2108147,"daytona beach, fl, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Denver","CO","United States","Denver, CO, United States",-104.990251,39.7392358,"denver, co, usa",4,0.884955752212389
"Bob Damron's Address Book",1983,452,"Des Moines","IA","United States","Des Moines, IA, United States",-93.6249593,41.5868353,"des moines, ia, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Detroit","MI","United States","Detroit, MI, United States",-83.0457538,42.331427,"detroit, mi, usa",4,0.884955752212389
"Bob Damron's Address Book",1983,452,"East Northport","NY","United States","East Northport, NY, United States",-73.3245613,40.8767647,"east northport, ny, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"East St. Louis","IL","United States","East St. Louis, IL, United States",-90.1506465,38.624514,"east st louis, il, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"El Paso","TX","United States","El Paso, TX, United States",-106.4850217,31.7618778,"el paso, tx, usa",3,0.663716814159292
"Bob Damron's Address Book",1983,452,"Elmira","NY","United States","Elmira, NY, United States",-76.8077338,42.0897965,"elmira, ny, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Erie","PA","United States","Erie, PA, United States",-80.085059,42.1292241,"erie, pa, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Eugene","OR","United States","Eugene, OR, United States",-123.0867536,44.0520691,"eugene, or, usa",3,0.663716814159292
"Bob Damron's Address Book",1983,452,"Eureka","CA","United States","Eureka, CA, United States",-124.1636729,40.8020712,"eureka, ca, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Evansville","IN","United States","Evansville, IN, United States",-87.5710898,37.9715592,"evansville, in, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Fayetteville","NC","United States","Fayetteville, NC, United States",-78.8783774,35.0523673,"fayetteville, nc, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Fire Island","NY","United States","Fire Island, NY, United States",-73.1459474,40.6475997,"fire island, ny, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Floral Park","NY","United States","Floral Park, NY, United States",-73.7048532,40.7237133,"floral park, ny 11001, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Forestville","CA","United States","Forestville, CA, United States",-122.8902721,38.4735237,"forestville, ca 95436, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Fresno","CA","United States","Fresno, CA, United States",-119.7871247,36.7377981,"fresno, ca, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Ft. Lauderdale","FL","United States","Ft. Lauderdale, FL, United States",-80.1373174,26.1224386,"fort lauderdale, fl, usa",3,0.663716814159292
"Bob Damron's Address Book",1983,452,"Ft. Myers","FL","United States","Ft. Myers, FL, United States",-81.8723084,26.640628,"fort myers, fl, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Ft. Smith","AR","United States","Ft. Smith, AR, United States",-94.4209646,35.3843722,"fort smith, ar, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Ft. Wayne","IN","United States","Ft. Wayne, IN, United States",-85.1393513,41.079273,"fort wayne, in, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Ft. Worth","TX","United States","Ft. Worth, TX, United States",-97.3307658,32.7554883,"fort worth, tx, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Garden Grove","CA","United States","Garden Grove, CA, United States",-117.9379952,33.7742692,"garden grove, ca, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Grand Rapids","MI","United States","Grand Rapids, MI, United States",-85.6680863,42.9633599,"grand rapids, mi, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Green Bay","WI","United States","Green Bay, WI, United States",-88.0132958,44.5133188,"green bay, wi, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Greensboro","NC","United States","Greensboro, NC, United States",-79.7919754,36.0726354,"greensboro, nc, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Greenville","SC","United States","Greenville, SC, United States",-82.3940104,34.8526176,"greenville, sc, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Gulfport","MS","United States","Gulfport, MS, United States",-89.0928155,30.3674198,"gulfport, ms, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Hagerstown","MD","United States","Hagerstown, MD, United States",-77.7199932,39.6417629,"hagerstown, md, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Harrisburg","PA","United States","Harrisburg, PA, United States",-76.8867008,40.2731911,"harrisburg, pa, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Hartford","CT","United States","Hartford, CT, United States",-72.6733723,41.7658043,"hartford, ct, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Hayward","CA","United States","Hayward, CA, United States",-122.0809964,37.6687665,"hayward, ca, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Houston","TX","United States","Houston, TX, United States",-95.3698028,29.7604267,"houston, tx, usa",6,1.32743362831858
"Bob Damron's Address Book",1983,452,"Huntington","NY","United States","Huntington, NY, United States",-73.425676,40.8681539,"huntington, ny, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Huntington","WV","United States","Huntington, WV, United States",-82.445154,38.4192496,"huntington, wv, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Hyannis","MA","United States","Hyannis, MA, United States",-70.2881124,41.6524911,"hyannis, barnstable, ma 02601, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Indianapolis","IN","United States","Indianapolis, IN, United States",-86.158068,39.768403,"indianapolis, in, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Iowa City","IA","United States","Iowa City, IA, United States",-91.5346169,41.6578257,"iowa city, ia, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Jackson","MS","United States","Jackson, MS, United States",-90.1848103,32.2987573,"jackson, ms, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Jacksonville","FL","United States","Jacksonville, FL, United States",-81.655651,30.3321838,"jacksonville, fl, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Jamestown","NY","United States","Jamestown, NY, United States",-79.2353259,42.0970023,"jamestown, ny 14701, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Johnson City","TN","United States","Johnson City, TN, United States",-82.3534727,36.3134397,"johnson city, tn, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Joplin","MO","United States","Joplin, MO, United States",-94.513281,37.0842271,"joplin, mo, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Kansas City","KS","United States","Kansas City, KS, United States",-94.6267873,39.1155314,"kansas city, ks, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Kansas City","MO","United States","Kansas City, MO, United States",-94.5785667,39.0997265,"kansas city, mo, usa",4,0.884955752212389
"Bob Damron's Address Book",1983,452,"Key West","FL","United States","Key West, FL, United States",-81.7841722,24.5554183,"key west, florida 33040, usa",4,0.884955752212389
"Bob Damron's Address Book",1983,452,"Knoxville","TN","United States","Knoxville, TN, United States",-83.9207392,35.9606384,"knoxville, tn, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"La Crosse","WI","United States","La Crosse, WI, United States",-91.2519017,43.8137751,"la crosse, wi, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Lafayette","LA","United States","Lafayette, LA, United States",-92.0198427,30.2240897,"lafayette, la, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Lake Ronkonkoma","NY","United States","Lake Ronkonkoma, NY, United States",-73.1053707,40.8320984,"lake ronkonkoma, ny, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Lake Worth","FL","United States","Lake Worth, FL, United States",-80.0684479,26.6167555,"lake worth, fl, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Lancaster","PA","United States","Lancaster, PA, United States",-76.3055144,40.0378755,"lancaster, pa, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Lansing","MI","United States","Lansing, MI, United States",-84.5555347,42.732535,"lansing, mi, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Las Vegas","NV","United States","Las Vegas, NV, United States",-115.1391009,36.171563,"las vegas, nv, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Lawton","OK","United States","Lawton, OK, United States",-98.3959291,34.6035669,"lawton, ok, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Lewiston","ME","United States","Lewiston, ME, United States",-70.2147764,44.100351,"lewiston, me, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Lexington","KY","United States","Lexington, KY, United States",-84.5037164,38.0405837,"lexington, ky, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Lincoln","NE","United States","Lincoln, NE, United States",-96.7025955,40.813616,"lincoln, ne, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Little Rock","AR","United States","Little Rock, AR, United States",-92.2880157,34.7444618,"little rock, ar, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Long Beach","CA","United States","Long Beach, CA, United States",-118.1937395,33.7700504,"long beach, ca, usa",4,0.884955752212389
"Bob Damron's Address Book",1983,452,"Longview","TX","United States","Longview, TX, United States",-94.7404891,32.5007037,"longview, tx, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Lorain","OH","United States","Lorain, OH, United States",-82.1823746,41.452819,"lorain, oh, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Los Angeles","CA","United States","Los Angeles, CA, United States",-118.2436849,34.0522342,"los angeles, ca, usa",11,2.43362831858407
"Bob Damron's Address Book",1983,452,"Louisville","KY","United States","Louisville, KY, United States",-85.7584557,38.2526647,"louisville, ky, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Lubbock","TX","United States","Lubbock, TX, United States",-101.8456417,33.5845617,"lubbock, tx, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Lynn","MA","United States","Lynn, MA, United States",-70.9494938,42.466763,"lynn, ma, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Macon","GA","United States","Macon, GA, United States",-83.6324022,32.8406946,"macon, ga, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Madison","IN","United States","Madison, IN, United States",-85.3799577,38.7358933,"madison, in, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Madison","WI","United States","Madison, WI, United States",-89.4007501,43.0721661,"madison, wi, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Manchester","NH","United States","Manchester, NH, United States",-71.4547891,42.9956397,"manchester, nh, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Mansfield","OH","United States","Mansfield, OH, United States",-82.5154471,40.75839,"mansfield, oh, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"McAllen","TX","United States","McAllen, TX, United States",-98.2300124,26.2034071,"mcallen, tx, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Melbourne","FL","United States","Melbourne, FL, United States",-80.6081089,28.0836269,"melbourne, fl, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Memphis","TN","United States","Memphis, TN, United States",-90.0489801,35.1495343,"memphis, tn, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Miami","FL","United States","Miami, FL, United States",-80.1917902,25.7616798,"miami, fl, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Miami Beach","FL","United States","Miami Beach, FL, United States",-80.1300455,25.790654,"miami beach, fl, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Miamisburg","OH","United States","Miamisburg, OH, United States",-84.2866083,39.6428362,"miamisburg, oh, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Milldale","CT","United States","Milldale, CT, United States",-72.8990595,41.5669981,"milldale, southington, ct, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Milwaukee","WI","United States","Milwaukee, WI, United States",-87.9064736,43.0389025,"milwaukee, wi, usa",4,0.884955752212389
"Bob Damron's Address Book",1983,452,"Mine Hill","NJ","United States","Mine Hill, NJ, United States",-74.5937701,40.8778768,"mine hill township, nj, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Minneapolis","MN","United States","Minneapolis, MN, United States",-93.2650108,44.977753,"minneapolis, mn, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Miracle Mile","CA","United States","Miracle Mile, CA, United States",-118.3491169,34.059534,"miracle mile, los angeles, ca, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Mobile","AL","United States","Mobile, AL, United States",-88.0398912,30.6953657,"mobile, al, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Modesto","CA","United States","Modesto, CA, United States",-120.9970014,37.6392595,"modesto, ca, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Monroe","LA","United States","Monroe, LA, United States",-92.1193012,32.5093109,"monroe, la, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Moscow","ID","United States","Moscow, ID, United States",-117.0001651,46.7323875,"moscow, id, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Mount Clemens","MI","United States","Mount Clemens, MI, United States",-82.8779754,42.5972563,"mt clemens, mi, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Mountain View","CA","United States","Mountain View, CA, United States",-122.0838511,37.3860517,"mountain view, ca, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Napa","CA","United States","Napa, CA, United States",-122.286865,38.2975381,"napa, ca, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Nashville","TN","United States","Nashville, TN, United States",-86.7816016,36.1626638,"nashville, tn, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"New Bedford","MA","United States","New Bedford, MA, United States",-70.934205,41.6362152,"new bedford, ma, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"New Brunswick","NJ","United States","New Brunswick, NJ, United States",-74.4518188,40.4862157,"new brunswick, nj, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"New Haven","CT","United States","New Haven, CT, United States",-72.9278835,41.308274,"new haven, ct, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"New Hope","PA","United States","New Hope, PA, United States",-74.9512785,40.3642728,"new hope, pa 18938, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"New Milford","PA","United States","New Milford, PA, United States",-75.7271318,41.8725781,"new milford, pa 18834, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"New Orleans","LA","United States","New Orleans, LA, United States",-90.0715323,29.9510658,"new orleans, la, usa",6,1.32743362831858
"Bob Damron's Address Book",1983,452,"New York City","NY","United States","New York City, NY, United States",-74.0059728,40.7127753,"new york, ny, usa",12,2.65486725663717
"Bob Damron's Address Book",1983,452,"Newark","DE","United States","Newark, DE, United States",-75.7496572,39.6837226,"newark, de, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Norfolk","VA","United States","Norfolk, VA, United States",-76.2858726,36.8507689,"norfolk, va, usa",5,1.10619469026549
"Bob Damron's Address Book",1983,452,"Oakland","CA","United States","Oakland, CA, United States",-122.2711639,37.8043514,"oakland, ca, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Oklahoma City","OK","United States","Oklahoma City, OK, United States",-97.5164276,35.4675602,"oklahoma city, ok, usa",5,1.10619469026549
"Bob Damron's Address Book",1983,452,"Omaha","NE","United States","Omaha, NE, United States",-95.9345034,41.2565369,"omaha, ne, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Orange","NJ","United States","Orange, NJ, United States",-74.2326478,40.7706187,"city of orange, nj 07050, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Orlando","FL","United States","Orlando, FL, United States",-81.3789269,28.5383832,"orlando, fl, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Pacific Grove","CA","United States","Pacific Grove, CA, United States",-121.9166215,36.6177374,"pacific grove, ca, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Palm Springs","CA","United States","Palm Springs, CA, United States",-116.5452921,33.8302961,"palm springs, ca, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Paramount","CA","United States","Paramount, CA, United States",-118.1597911,33.8894598,"paramount, ca, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Parkersburg","WV","United States","Parkersburg, WV, United States",-81.5615135,39.2667418,"parkersburg, wv, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Pasadena","CA","United States","Pasadena, CA, United States",-118.1445155,34.1477849,"pasadena, ca, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Pensacola","FL","United States","Pensacola, FL, United States",-87.2169149,30.421309,"pensacola, fl, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Peoria","IL","United States","Peoria, IL, United States",-89.5889864,40.6936488,"peoria, il, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Philadelphia","PA","United States","Philadelphia, PA, United States",-75.1652215,39.9525839,"philadelphia, pa, usa",5,1.10619469026549
"Bob Damron's Address Book",1983,452,"Phoenix","AZ","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa",5,1.10619469026549
"Bob Damron's Address Book",1983,452,"Pittsburgh","PA","United States","Pittsburgh, PA, United States",-79.9958864,40.4406248,"pittsburgh, pa, usa",3,0.663716814159292
"Bob Damron's Address Book",1983,452,"Pomona","CA","United States","Pomona, CA, United States",-117.7499909,34.055103,"pomona, ca, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Pontiac","MI","United States","Pontiac, MI, United States",-83.2910468,42.6389216,"pontiac, mi, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Portland","ME","United States","Portland, ME, United States",-70.2568189,43.6590993,"portland, me, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Portland","OR","United States","Portland, OR, United States",-122.6783853,45.515232,"portland, or, usa",7,1.54867256637168
"Bob Damron's Address Book",1983,452,"Providence","RI","United States","Providence, RI, United States",-71.4128343,41.8239891,"providence, ri, usa",2,0.442477876106195
"Bob Damron's Address Book",1983,452,"Provincetown","MA","United States","Provincetown, MA, United States",-70.1846012,42.0547136,"provincetown, ma, usa",5,1.10619469026549
"Bob Damron's Address Book",1983,452,"Racine","WI","United States","Racine, WI, United States",-87.7828523,42.7261309,"racine, wi, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Raleigh","NC","United States","Raleigh, NC, United States",-78.6381787,35.7795897,"raleigh, nc, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Rancho Cordova","CA","United States","Rancho Cordova, CA, United States",-121.302728,38.5890723,"rancho cordova, ca, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Reading","PA","United States","Reading, PA, United States",-75.9268747,40.3356483,"reading, pa, usa",1,0.221238938053097
"Bob Damron's Address Book",1983,452,"Rehoboth Beach","DE","United States","Rehoboth Beach, DE, United States",-75.0760137,38.7209454,"rehoboth beach, de, usa",1,0.221238938053097
