"geocode.value","lon","lat","geoAddress"
"New Bedford, CT, United States",NA,NA,"NA"
"Easthampton, NY, United States",NA,NA,"NA"
"Landisville, PA, United States",NA,NA,"NA"
"Fox Valley, WI, United States",NA,NA,"NA"
"New Bedford, CT, United States",NA,NA,NA
"Easthampton, NY, United States",NA,NA,NA
"Landisville, PA, United States",NA,NA,NA
"Fox Valley, WI, United States",NA,NA,NA
"New Bedford, CT, United States",NA,NA,NA
"Easthampton, NY, United States",NA,NA,NA
"Landisville, PA, United States",NA,NA,NA
"Fox Valley, WI, United States",NA,NA,NA
"New Bedford, CT, United States",NA,NA,NA
"Easthampton, NY, United States",NA,NA,NA
"Landisville, PA, United States",NA,NA,NA
"Fox Valley, WI, United States",NA,NA,NA
"New Bedford, CT, United States",NA,NA,NA
"Easthampton, NY, United States",NA,NA,NA
"Landisville, PA, United States",NA,NA,NA
"Fox Valley, WI, United States",NA,NA,NA
"New Bedford, CT, United States",NA,NA,NA
"Easthampton, NY, United States",NA,NA,NA
"Landisville, PA, United States",NA,NA,NA
"Fox Valley, WI, United States",NA,NA,NA
"Aubrun, AL, United States",-85.4807825,32.6098566,"auburn, al, usa"
"Tuscalloosa, AL, United States",-87.5691735,33.2098407,"tuscaloosa, al, usa"
"Huachuca, AZ, United States",-110.3339678,31.6278703,"huachuca city, az 85616, usa"
", AZ, United States",-111.0937311,34.0489281,"arizona, usa"
", AR, United States",-91.8318334,35.20105,"arkansas, usa"
"Rubdoux, CA, United States",-117.41762,33.9971988,"rubidoux, riverside, ca, usa"
"Newport Beach, CA, United States",-117.9298493,33.6188829,"newport beach, ca, usa"
"San Francisco , CA, United States",-122.4194155,37.7749295,"san francisco, ca, usa"
"Sonora, CA, United States",-120.3821724,37.9829496,"sonora, ca 95370, usa"
"Statewide, CO, United States",-105.7820674,39.5500507,"colorado, usa"
"New Bedford, CT, United States",NA,NA,NA
"New Haven , CT, United States",-72.9278835,41.308274,"new haven, ct, usa"
"Dewey Beach, DE, United States",-75.0746249,38.6928899,"dewey beach, de 19971, usa"
"Greenville, DE, United States",-75.5982599,39.7790012,"greenville, de 19807, usa"
"Opa-Locka, FL, United States",-80.2503271,25.9023168,"opa-locka, fl, usa"
"Coca, FL, United States",-80.7419984,28.3861159,"cocoa, fl, usa"
"Fort Myers Beach, FL, United States",-81.948145,26.4520248,"fort myers beach, fl 33931, usa"
"Fort Walton Beach, FL, United States",-86.6170308,30.4200708,"fort walton beach, fl, usa"
"Gainseville, FL, United States",-82.324998,29.6519563,"gainesville, fl, usa"
"Hallendale, FL, United States",-80.148379,25.9812024,"hallandale beach, fl 33009, usa"
"Jacksonville Beach, FL, United States",-81.3961338,30.2841224,"jacksonville beach, fl, usa"
