Name of Site/Org,Site Type,Address,Unclear Address?,City,State,Description (copy & paste),Stars,Star Type,Mentions Race?,Mentions Disability?,Notes to review (if any)
Integrity Mississippi,Religious Groups,,checked,Jackson,MS,Gay Episcopalians,,,,,PO Box 4235 39216
UMC Women's Center,Centers,,checked,Columbia,MO,"Tel 882 6621 Social Services, counseling, referrals and resources",****,Organizations,,,"1 Gentry Hall, University of Colombia 66201"
Gay Talk ,Information Services,,checked,Kansas City,MO,Tel 931 4470 Hot Line 24 hours 7 days a week ,,,,,
Gay Organized Alliance for Liberation,Group,,checked,Kansas City,MO,Tel 524-8544,*,Organizations,,,PO Box 2343 64142
Actor's Sorority ,Production Company,,checked,Kansas City,MO,"Tel 483 5693 Local all women, feminist theater group",,,,,
Gay Crisis Intervention Hotline,Information Services,,checked,St Louis,MO,Tel 725 2010 or 367 7433 24 hours,,,,,
Moonstorm,Publication,,checked,St Louis,MO,No Phone Listed,,,,,PO Box 4201 Tower Grove Station 63118
Gay Hotline,Information Services,,checked,St Louis,MO,Tel 367 0084,,,,,
Now/Southwest County,,,checked,St Louis,MO,Tel 965 1106 ,,,,,PO Box 3453 63143
Out in Montana,Organization,,checked,,MT,Tel 728-6589 Extremely active group with six chapters throughout the state,,,,,PO Box 8896 Missoula Montana 59807
Montana State University Women's Center,Centers,,checked,Bozeman,MT,Tel 994 3836 ,****,Organizations,,,
Lambda Gay Alliance,Group,,checked,Bozeman,MT,Tel 587 1444 Social and political organization for lesbians and gay men ,*,Organizations,,,PO Box 925 59715
Metropolitan Community Church,Religious Groups,,checked,Great Falls,MT,No Phone Listed,,,,,Electric City PO Box 50 59403
Women's Outreach Network,Group,,checked,Helena,MT,Tel 443 3379 Publish their own quarterly newsletter Tapestry ,**,Organizations,,,PO Box 523 59624 
Montana Women's Lobbyist Fund,Group,,checked,Helena,MT,Tel 449 7917 Special Interest Group: a a coalition of women's organizations trying to represent a broad spectrum of women's issues in the Montana legislature,,,,,PO Box 1099 Helena Montana 59624
Northern Lights Cafe,Restaurant,,checked,Helena,MT,Tel 443 9700 Operated by a collective of women,*,Restaurants,,,Last Chance Gulch (Main St) 
Sweetgrass,Restaurant,,checked,Helena,MT,Woman owned,,,,,
Women's Resource Center,Centers,,checked,Missoula,MT,Tel 243 4153 Primarily but not exclusively for students,****(*),Organizations,,,University of Montana 59812 
The Resource Center,Centers,,checked,Missoula,MT,Tel 728 6948 Hosts coming out support and rap group for gay women and men ,***(**),Organizations,,,Room 203 (upstairs in the Wilma Bldg in downtown Missoula) 
North Crow Vacation Ranch ,Adventure Vacations,,checked,Ronan,MT,"Tel 676 5169 Owned and operated by gay women, they always schedule women only space",,,,,TJ Mocabee RR 1 Box 62A 59864
Lincoln Legion of Lesbians (LLL),Group,,checked,Lincoln,NE,Tel 488 9060 or call Women's Center A collective of lesbians that provides social/cultural activities for women only,**,Organizations,,,PO Box 301137 68503
1 Metropolitan Community Church,Religious Groups,,checked,Omaha,NE,Tel 345 2563 Sunday Worship Services ,,,,,PO Box 3173 803 North 20th Street 68103
The Galliard,Resort,,checked,Las Vegas,NV,"No Phone Listed A Gay resort on a 7 acre site behind the Tropicana in Las Vegas
",,,,,Behind the Tropicana in Las Vegas
Women's Center,Centers,,checked,Reno,NV,No Phone Listed Counseling and referrals,****,Organizations,,,University of Nevada 1201 North Virginia St
New Hampshire Lambda,Group,,checked,Concord,NH,Tel 746 3339 Tel 483 2592,**,Organizations,,,PO Box 11043 03301
Lesbian Support Group,Group,,checked,Concord,NH,Tel 785 8191 ,**,Organizations,,,c/o Durrant PO Box 106 03301 
Dignity-Integrity/Concern,Religious Groups,,checked,Concord,NH,Tel 485 5770  Gay Catholics/Episcopalians and friends meets at 52 Pleasant Street,,,,,PO Box 521 03301
Full Circle,Publication,,checked,Contoocook,NH,No Phone Listed Feminist journal/calendar,,,,,PO Box 235 03229
Dartmouth Gay Student's Association,Group,,checked,Hanover,NH,Tel 646 3579,*,Organizations,,,Hinman PO Box 5057 03755
Lesbian/Feminist Collective,Group,,checked,Penacook,NH,Tel 889 1416 A large group with a political orientation plus lots of social activities,*,Organizations,,,PO Box 47 03061
The Lavender Express,Publication,,checked,,NJ,"Tel 739 0235 A storehouse of New Jersey organizational resources and information, the publication of the Lesbian Community League ",,,,,PO Box 218 Kearny NJ 07032
United Sisters,Information Services,,checked,,NJ,Tel 233 3848 Strictly a social group ,,,,,PO Box 41 Garwood NJ 07027-041
New Jersey Gay Switchboard,Information Services,,checked,,NJ,Tel 466 1960 Monday-Weds 7pm-10pm,,,,,
Sapphic Sisters,Group,,checked,,NJ,"Tel 352 4527 and 367 2227 Hotline, monthly newsletter, regular meetings and other happenings",,,,,PO Box 682 Union NJ 07083
Express Woman Enterprises,Group,,checked,,NJ,Tel 739 0235 Publishes the Lavender Express monthly ,**,Organizations,,,PO Box 285 Key Port 07735 
Gay Activists Alliance of New Jersey,Group,,checked,,NJ,Tel 692 1794,*,Organizations,,,PO Box 1734 South Hackensack 07601 
NJGC/New Jersey Gay Coalition ,Group,,checked,,NJ,No Phone Listed,,Organizations,,,"Po Box 2901 Rutgers University, New Brunswick NJ 08903"
New Jersey Lesbian Rights Task Force,Group,,checked,,NJ,"No Phone Listed Very active, very helpful",**,Organizations,,,PO Box 332 Somerville NJ 08876
1 Gay Activist Alliance of Hudson County,Religious Groups,,checked,Jersey City,NJ,Tel 653 0843,,Organizations,,,Mail Box 107 261 Central Ave 07307 
Delaware Valley Gay Neighbours,Group,,checked,Lambertville,NJ,"Tel 4466 1980 
",*,Organizations,,,PO Box 222 08530
Gay Activists Alliance/Morris County,Group,,checked,Morristown ,NJ,Tel 762 6217 Counseling and information all gay women and men welcome,,,,,PO Box 137 07961
Italian Kitchen,Bars,,checked,Newton,NJ,"No Phone Listing attractive bar, friendly service, juke box dancing, gays on weekends, recommended",**,"Bars, Clubs, Coffeehouses",,,Rte 94 (off 206) 
