title,type,address,statewide.address,unclear.address,city,state,description,stars,star.type,Mentions Race?,Mentions Disability?,notes,Last Modified By,Last Modified,year
Skeeters,Bars,150 Lee Street,,,Montgomery,AL,"Tel. 265-8290. Disco, show-bar.",*,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Rgee's,Bars,211 Lee Street,,,Montgomery,AL,Tel. 262-9212.,*,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Auburn Gay Awareness,Organizations / Groups / Services, PO Box 821,checked,checked,Auburn,AL,write: P.O. Box 821 ;36830.,,,,,,Lilly Smith,7/23/2024 3:43pm,1987
Rodofo's Holiday Inn,Bars,Ross Clark Circle,,checked,Dothan,AL,-Ross Clark Circle;36201,*,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Fats,Bars,315 South 2nd,,,Gadsden,AL,Tel. 546-4522.,**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
The Chukker,Bars,2121 6th Street,,,Tuscaloosa,AL,35404.,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Gay / Lesbian Support Group,Group,,,checked,Tuscaloosa,AL,write: P.O. Box 4594;35480,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Arkansas Gay Rights,Group,PO Box 3115. ,checked,checked,Little Rock,AR,"write. AGR, P.O.Box 3115. Little
Rock,AR;72203.",,,,,,Lilly Smith,7/23/2024 3:42pm,1987
Gay Counselling Service,Service,409 Walnut,,,Little Rock,AR,Tel. 663-6455.,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
National Organisation for Women,N.O.W.,,,checked,Little Rock,AR,"write: Box
662;72203-Tel. 227-0003.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Metropolitan Community Church,Religious Groups,,,checked,Little Rock,AR,"Box 1964, Little
Rock;72203-Tel. 666-2404.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Discovery Disco,Bar / Restaurants,1021 Jessie,,,Little Rock,AR,"Tel. 664-4784 .. Frequent drag
shows.",**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Paul D. Gordon,Attorneys,904 West Second Street,,,Little Rock,AR,32201- Tel.374-9458,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Calamity's,Bars,5922 South University,,,Little Rock,AR,"Tel. 562-9041. Hours
Monday- Friday 3pm-1 am. Sat. noon - midnight",****,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Silver Dollar,Bars,2710 Asher Avenue,,,Little Rock,AR,Tel. 663-9886.,****,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Starlight Club,Bars,Old Calion Highway,,checked,El Dorado,AR,-Old Callon Highway;71730-Tel. 863-9701,*,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Up and Coming,Publications,PO Box 718,checked,checked,Fayetteville,AR,"P.O.Box 718,Fayatteville,AR;72702. A monthly
newsletter offering news and calendar of events for feminists and
lesbians in north west Arkansas. Subs: $4.50/6months, sample copy.
$1.00/B. Guthrie, editor.",,,,,,Lilly Smith,7/23/2024 3:42pm,1987
Fayetteville Women's Library,Women's Library,632 West Dickson Street,,,Fayetteville,AR,"write: P.O.Box 3220,
Fayetteville, AR; 72702 Location: 632 West Dickson Street 72701- -the
membership is open to women-only. Books and mat~rial may be
checked out. They have 'Up & Coming'.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
The Closet,Bars,275 Huntsville Road,,,Fayetteville,AR,"(located in East Huntsville)- Tel.
442-9552. Disco.",**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Tisza's,Bars,4630 North College Avenue,,,Fayetteville,AR,"Tel. 442-9685.-small dance
floor/special events/closed Mondays & Tuesdays.",**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Our House Lounge & Restaurant,Bars,336 Central Avenue,,,Hot Springs,AR,"Tel.
624-6868. Open Mon-Sat.",**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Court Garden ,Bars,305 Garrison Avenue,,,Fort Smith,AR,"Avenue.-Tel. (501)783-9822 private
club- -o.k. for gay women. Happy hour, 5pm- ?pm/ Sun. T -dance,
7-11pm
",**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Village Landing,Bars,3028 North 6th,,,Fort Smith,AR,Tel. 783-9101,***,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Lesbian and Gay Community Switchboard,Service,,checked,checked,,AZ,"[listed in ""Statewide"" section] -Tel. 234-2752
(7pm-11pm)",,,,,,Lilly Smith,6/9/2024 1:17pm,1987
The Directory,Publications,"PO Box 25073,",checked,checked,Phoenix,AZ,"P O Box 25073, Phoenix;85064-2575
Tel.(602)254-1324. $25.00 p.a.",,,,,,Lilly Smith,6/9/2024 1:17pm,1987
Western Express,Publications,PO Box 32575,checked,checked,Phoenix,AZ,"PO Box 32575, Phoenix. Tel. 254-1324",,,,,,Lilly Smith,6/9/2024 1:17pm,1987
Arizona Women's Voice,Publications,2303 North 44th Street,checked,,Phoenix,AZ,"No.
14-225,Phoenix,AZ;85008. $10.00 p.a.",,,,,,Lilly Smith,6/9/2024 1:16pm,1987
Oasis Metropolitan Community Church ,Religious Groups,,,checked,Phoenix,AZ,Tel.268-518,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Casa de Cristo - Metropolitan Community Church ,Religious Groups,1029 E. Turney,,,Phoenix,AZ,Tel. 265-2831,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
New Moon,Bars,3108 East McDowell Road,,,Phoenix,AZ,Tel. 275-0764.,****,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Incognito Lounge,Bars,2424 East Thomas Road,,,Phoenix,AZ,Tel.955-9805,***,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Rags,Bars,2320 North 32nd Street,,,Phoenix,AZ,"Tel. 957-9929. Cocktail and dinners,
Sunday brunch. Open till 3am Sat.",****,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Human Space,Alternative Bookstore,2401 North 32nd Street,,,Phoenix,AZ,"(no.5);85005-Tel.
956-6336. Lesbian titles/women's studies/T -shirts/buttons/women's
music/bulletin board/greeting cards/they sell WOMEN'S PAGES &
GAIA'S GUIDE. Say 'hi' from GAIA.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
The Grand Camel Club,Bar / Restaurants,5105 North 3rd Avenue,,,Phoenix,AZ,tel. 841-6306.,**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Irene A. Wos,Attorneys,201 East Southern ,,,Phoenix,AZ,"(ste.213),Te,pe;85282- Tel.(602)966-3299",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Ace Taxis,Taxi Cabs,,,checked,Phoenix,AZ,Tel. 956-1009,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Discount Cab,Taxi Cabs,,,checked,Phoenix,AZ,Tel. 275-3538,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Ruby's,Bars,2512 East Grant Road,,,Tucson,AZ,Tel. 327-0114. Open 4pm-1am.,***,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Metropolitan Community Church of Tucson,Religious Groups,560 South Stone,,,Tucson,AZ,85702-Tel. 622-4536. Answering machine.,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Dignity / Tucson,Religious Groups,,,checked,Tucson,AZ,"P O Box 27929;85726. Tel. 745-1812 &
297-6340.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Switchboard,Service,,,checked,Tucson,AZ,Tel. 792-3772,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Simone's,Bars,2960 North First Ave,,,Tucson,AZ,"Ave;85719-Tel.622-9733. Very highly
recommended restaurant and dance bar. STRICTLY WOMEN ONLY &
very friendly. Many gay community benefits + women entertainers
nights/pool tournaments and generous cocktail hours. Open every day
of the year. Say 'hi' to Gloria, et al from GAIA",****,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
The Sidewalk Cafe,Restaurants,4784 Sunrise Drive,,,Tucson,AZ,Tel. 299-4500,*,Restaurants,,,,Amanda Regan,4/11/2024 4:42pm,1987
The Graduate,Bars,23 West University Boulevard,,,Tucson,AZ,Tel.622-9233.,***,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
The Fine Line,Bars,101 West Drachman,,,Tucson,AZ,Tel. 882-4953,**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Rita's Rendezvous,Bars,3455 East Grant,,,Tucson,AZ,"Grant;(at Alleron);85716. Tel.
327-3390. Bar & restaurant / dancing/ entertainment / free Sunday
brunch. Open 7 days a week. Say 'hi' from GAIA.",**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
"Books Brothers, Ltd.",Alternative Bookstore,3242 East Speedway,,,Tucson,AZ,"85716-TeI.
326-3332. 'Write for our FREE LIST of Gay/Lesbian titles. Or come in
and browse around.·",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Antigone Books,Feminist Bookstore,403 East 5th Street,,,Tucson,AZ,"Tel. 792-3715. Very well
stocked, including:
posters, records, cards and gifts. + Bullet.in
board/local info center. Very helpful to GAIA'S GUIDE. They sell GAIA S
GUIDE. Say 'hi' from GAIA.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Old Pueblo Business and Professional Association,Special Interest Groups,,,checked,Tucson,AZ,"write: P.O.Box 44033, Tucson, AZ; 85733-Tel. (602) 624-2567. 'Our
goals are to promote and strengthen our members' businesses and
professional careers and to help build a better community.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Aradia Women's Books,Feminist Bookstore,116 West Cottage,,,Flagstaff,AZ,Tel. 779-3817,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Dr. Barbara Megahee,Dentists,525 West Southern ,,,Mesa,AZ,"Porter
Plaza.Mesa.AZ;- Tel.827-1227",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Cider Creek Inn,Resort / Lodging for Women,,,checked,Albion,CA,"write: P.O.Box
1,AlbionCA;95410-Tel.(707)937-4335. Elegant 1880's Victorian near
quaint coastal Mendocino offering hot tub, cold plunge and country
kitchen. Continental breakfast included. Say 'hi' from GAIA",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Pepperland,Women's Guest House,,,checked,Albion,CA,"write: Box 464;95410- Tel.(707)937-0020. One cottage, owned by lesbians & for rent at $35.00 per day for two. Emphasis
on privacy. Open year round. Reservations required.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Metropolitan Community Church of Bakersfield,Religious Groups,2413 Alta Vista Drive,,,Bakersfield,CA,Tel. 327-3724,,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Twin Star,Bars,1030 20th St,,,Bakersfield,CA,"Tel. 322-8901
",**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Casablanca,Bars,1209 20th Street,,,Bakersfield,CA,Tel. 324-4769.,**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
KPFA,Women's Radio,2207 Shattuck Ave,,,Berkeley,CA,"94- FM;-Tel.848-6767. Public
radio station. It actually has a Women's Department and regularly
broadcasts women's news, music and features.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
La Pena,Cultural Center,3105 Shattuck Avenue,,,Berkeley,CA,"-Tel.849-2568.
Restaurant/cafe and cultural space with focus on Third World and
community programs; generally good women's & political programming.
Bilingual: Spanish.",,,checked,,"Anything to mark if it mentions accessibility that doesn't have to do with disability? (mentions bilingual Spanish services)
",Amanda Regan,4/11/2024 4:42pm,1987
Pacific Center for Gay People,Women's Radio,2712 Telegraph Avenue,,,Berkeley,CA,"Tel. 841 -6245. (switchboard).Crises referrals for housing,
jobs, etc., - monthly newsletter and calendar of events, mental health
services and swithcboard. Many, many lesbian support and special
interest groups. One of the best gay centers in the world",***(**),Organizations,,,,Amanda Regan,4/11/2024 4:42pm,1987
Berkeley Women's Health Center,Health - Centers / Clinics / Counselling / Practitioners,2908 Ellsworth,,,Berkeley,CA,"Tel.843-6194. General gynecological services, with Monday
night lesbian clinic",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Vivoli's Ice Cream of Italy,Ice Cream Parlour,21154 Allston Way,,,Berkeley,CA,"Trumpetvine Court. [Berkeley"" tel. 845-6458 A women's collective serving truly
exotic ice-cream, acknowledged hang-out. Second location: 2122
Vine Street, Berkeley-Tel.540-0522.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
The Brick Hut,Restaurants,3222 Adeline Ave,,,Berkeley,CA,"fabulous food, open
from 7am- -lesbian owned and operated.",**,Restaurants,,,,Amanda Regan,4/11/2024 4:42pm,1987
Cheese and Coffee Center,Restaurants,2115 Alston Way,,,Berkeley,CA,"Trumpetvine Court, Tel. 848-7115. Woman-owned and operated gourmet shop
featuring hot and cold beverages, fresh pastries, bagels, baquettes,
cheese, cold cuts and gift items.",*,Restaurants,,,,Amanda Regan,4/11/2024 4:42pm,1987
Point of Departure,Travel Agents,1660 Shattuck Avenue,,,Berkeley,CA,"Berkeley);Tel.
845-6636.- -A woman-owned and operated travel agency interested
in furthering international feminist contact.",,,checked,,"Does a goal of ""furthering international feminist contact"" seem relevant/ appropriate for indicating race?",Amanda Regan,4/11/2024 4:42pm,1987
San Francisco Bay Area Women's Yellow Pages,Publications,,,checked,Berkeley,CA,"P.O.Box
9396, Berkeley,CA;94709. Annual directory of women's businesses and
services in the Bay Area. On sale at local women's bookstores.
Excellent 'Survival Resources' section.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Plexus - West Coast Womens Press,Publications,545 Athol Avenue,,,Oakland,CA,"Tel. 451-2585. A long-time survivor of the Bay Area
women's community- -still publishing!- -Local news/reviews/monthly
calendar",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Community Women's Center,Centers,6536 Telegraph Avenue,,,Oakland,CA,"(formerly the Berkeley Women's
Center);-Tel.652-0612. 24 hour
crisis line: 652-6566. Wheelchair accessible. Crisis intervention and
referral services include feminist therapy referrals, drop-in crisis
counseling, legal clinics. Job, housing and service listings. Evening
classes and programs.",****,Organizations,,checked,,Amanda Regan,4/11/2024 4:42pm,1987
Switchboard,Service,,,checked,Oakland,CA,"Tel. 665- 7300, Mon- Fri. 1 0am-3pm.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Oakland Feminist Women's Health Center,Health - Centers / Clinics / Counselling / Practitioners,2930 McClure Street,,,Oakland,CA,"Tel. 444- 7664 (confidential line)+/444-5676. Full
gynaecological services/lesbian health and now: their own sperm bank
+ homeopathy/chinese herbal medicine/venereal wart removal. Sliding
scale fees. Some state funding for low income women available",,,checked,,Mentions Chinese Herbal Medicine--unsure if this indicates Chinese clientele but it's possible in Oakland,Amanda Regan,4/11/2024 4:42pm,1987
Revol,Bar / Restaurants,3924 Telegraph,,,Oakland,CA,"652 7144, Rest. 652- 7547.
The bar really is for men only but the restaurant is excellent, if a bit
expensive, and has more women.",**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
New Life Metropolitan Community Church ,Religious Center,685 14th Street,,,Oakland,CA,"(near Castro, First Unitarian Church Building),
Oakland- Tel.839-4241. Services: Sundays at 4pm.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Ollie's of Oakland,Bars,4130 Telegraph Avenue,,,Oakland,CA,"Tel.
653-6017. Lesbian super-bar. Dance hall/gallery/performance space
(features the very best in women's entertainment)/film shows. Recommended
by everyone",****,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Bench & Bar,Bar / Restaurants,120 11th St.,,,Oakland,CA,"Tel. 444-2266. Straight during
the day, gay at night.",**(MGM),"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
The White Horse,Bar / Restaurants,66th & Telegraph,,checked,Oakland,CA,"Tel.652-3826. Small dance
floor and pool tables.",**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Mama Bear's,Feminist Bookstore / Coffeehouse / Art Gallery,6536 Telegraph Avenue,,,Oakland,CA,"(in Oakland at 66th Street)
Tel.(415)428-9684. Take Ashby exit off Highway 80, right at Telegraph,
4 1/2 blocks {20 minutes from S.F.). Coffee house/arts and crafts
gallery/poetry readings/ new and used women's books. Emphasis on
women's spirituality. WOMEN ONLY in the evenings. 'A little isle of
Lesbos •. They now sell crafts and jewelry, have their own newsletter and
sell GAIA'S GUIDE. Say 'hi' from GAIA. Open 10am-7pm every day.
Now: outdoor patio and Sunday brunch. They have their own newspaper:
MAMA BEAR'S NEWS 7 NOTES + OUR OWN + COMING UP +
B.A.R. + PLEXUS",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
For Yourself,Sexuality Boutiques,5467 College Ave,,,Oakland,CA,"between Forrest &
Hudson)- Tel.658-1904. Vibrators/massage oils/books/toys and erotic
art. Say 'hi' from GAIA.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
A Woman's Place Bookstore,Feminist Bookstore,4015 Broadway,,,Oakland,CA,"(Oakland-near
40th Street);94611- Tel.547-9920 + 654-3645. Magazines. and
posters, buttons, women·s music, jewelry, tarot cards, authors nights
and other activities. They sell GAIA'S GUIDE and are the acknowledged
local info center for the area. Say 'hi' from GAIA. New hour: 10am-6pm
& till 9pm Weds. Closed Tuesdays. 10am-9pm/Th./Fri/Sat.Sun.
10am-6pm.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Sheba,Restaurants,3109 Telegraph Ave,,,Oakland,CA,"Tel.654-374l.
Woman-owned restaurant serving authentic Ethiopian cuisine.",*,Restaurants,,,,Amanda Regan,4/11/2024 4:42pm,1987
Z Budapest,Occult Services,,,checked,Oakland,CA,"P O Box 11363, Oakland;94611 Tel. 444- 7724. (for
appointment)- International feminist psychic. Psychic consultations,
trysting of couples, house blessings, parties rituals.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
The Dojo,Self-Defense,3718 MacArthur Blvd,,,Oakland,CA,"Tel.530-5043.
Self-protection and jujitsu school offering six-week and on-going
classes for women of all ages, sizes and abilities.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
We Dance,Activities for Fat Women,,,checked,Oakland,CA,"-Tel.849-3662. Gentle, lively mix of stretching, strengthening
and dance-aerobics for larger, heavier bodies. Call for current
schedule.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Rachel D. Ginsburg,Attorneys,606 Fifteenth Street,,,Oakland,CA,"(ste. 400),
Oakland,CA;94612- Tel. {415)835-5568.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Phoenix Auto,Auto Repair,4200 A Street,,,Oakland,CA,"Tel.533-3356. Woman
owned, VW & Toyota specialists.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Independent Mechanics,Auto Repair,3851 Magee Ave,,,Oakland,CA,"Tel.531-6879. General auto repair, house calls.
Woman owned and operated.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Ruth Roten,Jewelry,,,checked,Oakland,CA,"Tel.(415)654-3685. High quality women's jewelry,
symbols, etc. Say 'hi' to Ruth from GAIA",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Janice's Mobile Repair,Auto Repair,,,checked,Oakland,CA,"-Tel.834-4159. Woman mechanic
specializing in Mazdas. Datsun and Toyotas.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Blue Fish Cove,Women's Resort,10573 East Highway 20,,,Clear Lake,CA,"20, mailing address: P.O.Box
1273,Clearlake Oaks,CA;95423. Tel.998-1769. Lakefront resort with 7
housekeeping cottages, boats and other facilities. Say 'hi' from GAIA.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
The Cabaret,Bars,9435 East Highway 20,,,Clear Lake,CA,Glenhaven- Tel.998-1169.,**,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
"Ash - Alcoholism Services for Homosexuals, Inc.",Service,11918 Garden Grove Blvd.,,,Garden Grove,CA,"Tel. 537-9968. HOTLINE: (714)534-5820. Nightly
(AA) gay meetings, counseling.social and educational in a non-drinking
environment.",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
Gay and Lesbian Community Services Center of Orange County,Centers,12832 Garden Grove Blvd,,,Garden Grove,CA,Suite 'E' Tel. 534 3261,***(**),Organizations,,,,Amanda Regan,4/11/2024 4:42pm,1987
Happy Hour,Bars,12081 Garden Grove Blvd.,,,Garden Grove,CA,Tel. 537-9097,****,"Bars, Clubs, Coffeehouses",,,,Amanda Regan,4/11/2024 4:42pm,1987
Metropolitan Community Church ,Religious,12012 Magnolia Ave,,,Garden Grove,CA,"L31.
Tel. 636-6505",,,,,,Amanda Regan,4/11/2024 4:42pm,1987
