title,type,statewide.address,address,unclear.address,city,state,description,stars,star.type,Mentions Race?,Mentions Disability?,notes,Start date,year
Red Head,Bars,,418 W. Second.Tel.,,Wichita,KS,Te;. 265-9201 ,**,Bars and Clubs,,,,,1975
The Quiet Room,Bars,,1527 East Pawnee.,,Wichita,KS,262-9073,**,Bars and Clubs,,,,,1975
"""The Winter Palace""",Bars,,,checked,Anchorage,AK,"Jewell & Rasperry Roads (next to the airport). Tel, 344-9559",**,Bars and Clubs,,,,,1975
"""The Bonfire""",Bars,,111 W. 5th Ave,,Anchorage,AK,277-9900,?,Bars and Clubs,,,,,1975
Sisterhood Express,Women's Center,,912 E. Sixth St.,,Tucson,AZ,Tel. 792-1929.,,,,,,,1975
"""M.C.C""",Organizations,,"P.O. Box 21064, Center Address: 1426 E. Maricopa Freeway",checked,Phoenix,AZ,Tel. (602)254-0943,***,Bars and Clubs,,,,,1975
The Sportsmen's Lounge,Bars,,4622 7th St.,,Phoenix,AZ,Tel. 279-9041,***,Bars and Clubs,,,,,1975
"""Hedda's""",Bars,,N. 16th St. & East Indianola,,Phoenix,AZ,,***,Bars and Clubs,,,,,1975
The Happy Garden,Bars,,Camelback St.,checked,Phoenix,AZ,,***,Bars and Clubs,,,,,1975
"""The Habit""",Bars,,7051 N 7th St. ,,Phoenix,AZ,Tel. 944-9018 ,***,Bars and Clubs,,,,,1975
Sugar Shack.,Bars,,4211 N. 7th St.,,Phoenix,AZ,279-0988,**,Bars and Clubs,,,,,1975
Pat's Place.,Bars,,7047 N. 7th St.,,Phoenix,AZ,944-9018,*,Bars and Clubs,,,,,1975
"Gay Women's Lib., c/o The Women's Center",Organizations,,"1414 S, McAllister; 85281",,Tempe,AZ,Tel. (602) 968-0743 ,*****,Organizations,,,,,1975
"""GLAD"" (Gay Lib. Arizona Desert)",Organizations,,P.O. Box 117:85281,checked,Tempe,AZ,(602) 252-0173,***,Organizations,,,,,1975
"""Lesbian Feminists""",Organizations,,912 E. 6th St.,,Tucson,AZ,Tel. (602) 792-1929,*****,Organizations,,,,,1975
Gay Women's Liberation & Lesbian Coffeehouse (Desert Dykes of Tuscon-DDT),Organizations,,410 North 4th Ave.,,Tucson,AZ,"Tel. (602)881-1040 &
791-1890 ",,Organizations,,,,,1975
"""ZODIAC""",Bars,,4227 E. Speedway Blvd.,,Tucson,AZ,Tel. (602) 325-9242 ,****,Bars and Clubs,,,,,1975
"""Sir James""",Bars,,"4241 N, Oracle Road.",,Tucson,AZ,Tel. 887-9859 ,***,Bars and Clubs,,,,,1975
Triangle Bar,Bars,,1413 E. Factory Ave,,Tucson,AZ,,**,Bars and Clubs,,,,,1975
"""Act III""",Bars,,1048 N. Main,,Tucson,AZ,,**,Bars and Clubs,,,,,1975
Antigone Books,Bookstores,,415 N. 4th Ave; 85705,,Tucson,AZ,Tel. 792-3719. Lesbian Feminst Lit.,,,,,Feminist Typo in description is copied from the scanned copy,,1975
"""Circh""",Organizations,,24 W. 5th St,,Duluth,MN,"Tel. (218) 722-4724. Their Publication: ""CIRCH NEWSLETTER",,,,,,,1975
"""Dutch's""",Bars,,517 Lapeer.,,Duluth,MN,Tel. 752-9179,**,Bars and Clubs,,,,,1975
Mankato Gay Consciousness,Organizations,,"Box 58, Centennial Student Union",checked,Mankato,MN,Mankato State College;56001. Tel. (507) 387-4408 ,,,,,,,1975
The Lesbian Resource Center,Organizations,,2104 Stevens Ave. South.,,Minneapolis,MN,"Their Publication: ""So's Your Old Lady""",*****,Organizations,,,,,1975
Minnesota Gay Women's Alliance,Organizations,,P.O. Box 14362,checked,Minneapolis,MN,Tel. 789-1187,,,,,,,1975
"""The Nineteen Bar""",Bars,,19 West 15th St.,,Minneapolis,MN,,**,Bars and Clubs,,,,,1975
The Amazon Bookstore,Bookstores,,3420 Cedar Ave. South,,Minneapolis,MN,,,,,,,,1975
The New Orleans Hotel,Hotel,,63 Spring St. 72632,,Eureka Springs,AR,A Hotel owned by 7 for Feminists.,***,Bars and Clubs,,,,,1975
Royal Lion Club,Bars,,236 Quachita Ave.,,Eureka Springs,AR,Tel. 623-0573. Private Club,**,Bars and Clubs,,,,,1975
The Peacock Lounge,Bars,,220 Central,,Eureka Springs,AR,623-0227,*,Bars and Clubs,,,,,1975
Arkansas Gay Alliance-c/o Marvin H. Davis,Organizations,,2900 W. Capitol; 72204,,Little Rock,AR,,,,,,,,1975
Arkansas Gay Lib.-c/o Nancy Coe,Organizations,,Box 1511; 72203,checked,Little Rock,AR,Tel. (501) 376-9141,,,,,,,1975
"""Red Sticks News Co-Op"" (Radical Lesbians) c/o Jance Burton",Organizations,,Box 2638; 72203,checked,Little Rock,AR,(Radical Lesbians),,,,,,,1975
"""Lena's""",Bars,,133 Golden State Ave.,,Bakersfield,CA,,**,Bars and Clubs,,,,,1975
BERKELEY GAY SWITCHBOARD,Organization and Service,,,checked,Berkeley,CA,"Tel. (415) 848-9583, (10 A.M.-11 P.M.)",,,,,,,1975
Ruthie's Inn,Bars,,San Pablo Ave.,checked,Berkeley,CA,,?,,,,,,1975
Pacific Center Community Services,Organization and Service,,P.O. Box 908; 94701,checked,Berkeley,CA,Tel. 841-6224 ,***,Organizations,,,,,1975
Camp Ground,Bars,,,checked,Berkeley,CA,,?,,,,,,1975
"""Up Haste""",Bookstores,,2506 Hast St.; 94604,,Berkeley,CA,"Tel. (415)848-6359--an intimate, comfortable truly feminist bookshop. ",,,,,,,1975
"""Granma""",Bookstores,,1849 University Ave. ; 94703,,Berkeley,CA,Tel. 841-9744. One of the best stocked Radical & Gay Lib./Feminist Bookstores in the world.  ,,,,,,,1975
Gay Students - c/o Student Activities,,,Univ. of Calif. at Davis.,checked,Davis,CA,,,,,,Name logged correctly?,,1975
FOCUS,Unlisted,,Box 1876 ; 92626,checked,Costa Mesa,CA,FOCUS is all about the gay scene in Orange Country. Tel. (714) 642-4253,,For Review/Unclear,,,,,1975
Oscar's Club,Bars,,12366 Ramona,,El Monte,CA,,**,Bars and Clubs,,,,,1975
Gay Community Center of Orange County,Organizations,,215 E. 23rd St. ; 92627,,Costa Mesa,CA,"Tel. (714) 642-4253 & 833-3274. Includes SWITCHBOARD SERVICE for Fullerton & Newport Beach areas, ",***,Organizations,,,,,1975
Gay Students Union,Unlisted,,"Claremont College, McAllister Center",checked,Claremont,CA,,,,,,,,1975
Emma's Place,Women's Retreat,,P.O.Box 717;93433,checked,Grover City,CA,"Tel. (805)489-9633,-This is a woman's retreat in semi-rural surroundings. Individual cottages - rest & relaxation guaranteed.",****,,,,,,1975
Gay Switchboard ,Switchboards,,,checked,Fullerton,CA,Tel. (714)833-3274,***,,,,,,1975
"""The Woods""",,,1625 Sir Francis Drake,,Fairfax,CA,,,,,,,,1975
The Merry-Go-Round,Bars,,111 North Harbor Blvd.,,Fullerton,CA,Tel. 525-9328,**,Bars and Clubs,,,,,1975
"""The Advocate""",Publications,,Box 74695;90004.,checked,Grover City,CA,Very widely circulated Gay Newspaper. International in scope.,,,,,,,1975
Lesbian Activist Women at the Gay Community Services Center ,Organizations,,1614 Wilshire Blvd.; 90017,,Grover City,CA,Tel. 482-3062,,,,,,,1975
"""The Ranger""",Bars,,12682 Garden Grove Blvd.,,Garden Grove,CA,Tel. 537-9860,**,Bars and Clubs,,,,,1975
"""D.O.K. West""",Bars,,12889 Garden Grove Blvd. ,,Garden Grove,CA,Tel. 534-0521,**,Bars and Clubs,,,,,1975
Knotty Keg,Bars,,8932 Garden Grove Blvd.,,Garden Grove,CA,Tel. 534-9943,**,Bars and Clubs,,,,,1975
"""Proud Mary"" ",Bars,,12692 Garden Grove Blvd. ,,Garden Grove,CA,,**,Bars and Clubs,,,,,1975
"""The Tide Collective""",Organizations,,373 North Western Ave. (Room 202); 90004,,Grover City,CA,"Tel. 467-3931. Their magazine ""The Lesbian Tide"" is probably the most uncompromisingly Lesbian-Activist publication in the world & ""The Tide"" is fast becoming a unique and powerful political force in its own right. ",*****,Organizations,,,,,1975
Iron Spur,Bars,,11086 Garden Grove Blvd.,,Garden Grove,CA,Tel. 537-4080,**,Bars and Clubs,,,,,1975
Hialeah House,Bars,,8540 Lankershim Blvd. ,,Hollywood & North Hollywood,CA,767-9334,****,Bars and Clubs,,,,,1975
The Tigress Lounge,Bars,,6630 Lankesshim Blvd.,,Hollywood & North Hollywood,CA,765-9339.,****,Bars and Clubs,,,,,1975
"""The Fox"" ",Bars,,11150 Burbank Blvd.,,Hollywood & North Hollywood,CA,Tel. 980-9057,**,Bars and Clubs,,,,,1975
Joani Presents,Bars,,6413 Lankershim Blvd.,,Hollywood & North Hollywood,CA,762-1211,****,Bars and Clubs,,,,,1975
Big Horn,Bars,,4882 Lankershim Blvd.,,Hollywood & North Hollywood,CA,980-9625,****,Bars and Clubs,,,,,1975
The Saloon,Bars,,10448 Ventura Blvd.,,Hollywood & North Hollywood,CA,,***,Bars and Clubs,,,,,1975
Red Carpet,Bars,,6280 Yucca ,,Hollywood & North Hollywood,CA,tel. 462-026,***,Bars and Clubs,,,,,1975
Linda's Little Log Cabin,Bars,,11522 Ventura Blvd.,,Hollywood & North Hollywood,CA,tel. 769-9035,***,Bars and Clubs,,,,,1975
Love Inn,Bars,,10700 Vanowen.,,Hollywood & North Hollywood,CA,tel. 769-9215,**,Bars and Clubs,,,,,1975
Daniel's,Bars,,6776 Hollywood Blvd.,,Hollywood & North Hollywood,CA,tel. 464-0667.,***,Bars and Clubs,,,,,1975
Bla-Bla Cafe,Bars,,11058 Ventura Blvd.,,Hollywood & North Hollywood,CA,tel. 769-8912,***,Bars and Clubs,,,,,1975
The 49'er (Lynne's Fireside Lounge),Bars,,5510 Hollywood Blvd.,,Hollywood & North Hollywood,CA,tel 465-5002,****,Bars and Clubs,,,,,1975
Lloyd's,Bars,,739 N. La Brea.,,Hollywood & North Hollywood,CA,tel. 933-9293.,***,Bars and Clubs,,,,,1975
Chateau Club ,Bars,,16235 Foothill Blvd.,,Hollywood & North Hollywood,CA,tel. 823-9880,**,Bars and Clubs,,,,,1975
Persephone's Place,Bookstores,,325 Glenneyre St.,,Laguna Beach,CA,tel. (714)497-2033. 33. A place to read and discuss and be sisters together. The work of craftswomen and artists are featured.,,,,,,,1975
Lesbian Feminists,Organizations,,218 Venice Blvd; 90015,,Los Angeles,CA, tel. (213)937-9159 and 937-3965,,,,,,,1975
Lesbian Feminists of Orange County,Organizations,,686 South Coast Hiway no.11; 92651,,Laguna Beach,CA,"tel. 494-7877. And at the same address: ""The Feminist Forge"" for your complete line of feminist jewelry.",,,,,Would you want Feminist Forge as its own log?,,1975
The Club,Bars,,8947 National Blvd.,,Los Angeles,CA,,****,Bars and Clubs,,,,,1975
Bacchanal '70,Bars,, 7034 Melrose,,Los Angeles,CA,tel. 937-8771,****,Bars and Clubs,,,,,1975
Doves Cove,Bars,, 5813 Washington Blvd.,,Los Angeles,CA,935-5291,****,Bars and Clubs,,,,,1975
Butterfly West,Bars,, 5617 Melrose.,,Los Angeles,CA,,****,Bars and Clubs,,,,,1975
Plush Pony,Bars,, 5261 Alhambra Ave.,,Los Angeles,CA,(El Sereno area).,***,Bars and Clubs,,,,,1975
Carriage Trade,Bars,, 8077 Beverly Blvd.,,Los Angeles,CA,Tel. 653-9337,***,Bars and Clubs,,,,,1975
Big Brother's,Bars,,"1616 West Washington, Venice.",,Santa Monica,CA,,**,Bars and Clubs,,,,,1975
Los Angeles Women's Center,Organizations,, 237 Hill St.,,Santa Monica,CA,388-3491 (the women's switchboard)--Santa Monica,,,,,,,1975
Mirror Room,Bars,,1600 West. 6th.,,Los Angeles,CA,Tel. 483-9351,***,Bars and Clubs,,,,,1975
West Side Women's Center,Organizations,,"218 West Venice Blvd., Venice",,Santa Monica,CA,tel. 823 4774,,,,,,,1975
New Lagoon Saloon,Bars,, 1415 Santa Fe Ave.,,Los Angeles,CA,437-9351,**,Bars and Clubs,,,,,1975
Pink Elephant Saloon,Bars,,2810 Main St. Santa Monica.,,Santa Monica,CA,tel. 399-9S79,**,Bars and Clubs,,,,,1975
Crises Intervention Center (West Bay M.C.C.),Organizations,,"643 Rose Ave., Venice. ",,Santa Monica,CA,tel. 399-8088,,,,,,,1975
The Amber Light ,Bars,, 1314 North Patrero Grande Drive,,San Gabrael,CA,tel. 288-2232,**,Bars and Clubs,,,,,1975
Sisterhood Bookstores,Bookstores,,1351 Westwood Blvd.,,Santa Monica,CA,tel. (213) 477-7300.,,,,,These are two locations in one,,1975
Crystal Ball,Bars,,"1355 W. Washington Blvd., Venice",,Santa Monica,CA,,**,Bars and Clubs,,,,,1975
Midnight Special,Bars,,"1335 West Venice, Venice",,Santa Monica,CA,,**,Bars and Clubs,,,,,1975
Sisterhood Bookstores: The Woman's Building,Bookstores,,732 S. Grandview,,Santa Monica,CA,tel. (213) 384-6516,,,,,,,1975
Book Landist,Bookstores,,"1615 Montana, Santa Monica",,Santa Monica,CA,"Books by, for and about women. ",,,,,,,1975
Sexual Freedom League,Organizations,, Box 7856; 90807.,checked,Long Beach,CA,,,,,,,,1975
Everywoman Feminist Bookservice ,Bookstores,,"7426 Orion Ave., Van Nuys; 91406",,Van Nuys - Sherman Oaks,CA,Free catalogue on request. So much for Greater Los Angeles.,,,,,,,1975
The Canyon Room,Bars,,"13625 Moorpark St., Sherman Oaks",,Van Nuys - Sherman Oaks,CA,tel. 986-0285,****,Bars and Clubs,,,,,1975
The Blue Fox,Bars,, 1951 Artesia Blvd.,,Rendondo Beach,CA, (213) 379-6700,****,Bars and Clubs,,,,,1975
The Green Owl,Bars,, 1820 Atlantic Ave.,,Long Beach,CA,,***,Bars and Clubs,,,,,1975
Hoop's Coop,Bars,,2718 E. Anaheim.,,Long Beach,CA,tel. 433-9251,**,Bars and Clubs,,,,,1975
Caribbean Room,Bars,,2129 Long Beach Blvd.,,Long Beach,CA,tel. 591-9432,**,Bars and Clubs,,,,,1975
Oxwood Inn,Inn,, 13713 Oxnard.,,Oxnard,CA, tel 787-9927,,,,,,,1975
The Other Side,Organizations,,"1618 Mission, San Rafael.",,Marin County,CA, At Marin Women's Center. tel. 456-3014.,,,,,,,1975
Mustang Club,Bars,,413 N. 7th St.,,Modesto,CA,,**,Bars and Clubs,,,,,1975
The Guilded Cage,Bars,, 420 Tyler.,,Monterey,CA,tel. 375-8878,**,Bars and Clubs,,,,,1975
A Woman's Place,Organizations,,5251 Broadway; 94618,,Oakland,CA,"tel (415)654-9920. Basically a feminist bookstore (and one of the best stocked in the world) this place is a real institution. East Bay slightly older lesbians (30 plus) see ""Sisters"" (D.O.B. San Francisco Magazine) for current details.",,,,,,,1975
East Bay,Organizations,,,checked,Oakland,CA,"slightly older lesbians (30 plus) see ""Sisters"" (D.O.B. San Francisco magazine) for current details.",,,,,"Looking at this in the scanned issue, they are telling ""east Bay slightly older lesbians (30 plus) see 'Sisters' D.O.B. San Francisco Magazine) for current details."" about the location - A Woman's Place -- ""East Bay"" is not a place. ",,1975
The White Horse,Bars,, 66th at Telegraph.,checked,Oakland,CA,Tel. 652-3820,*,Bars and Clubs,,,,,1975
The Jubilee,Bars,, 4712 East 14th St.,,Oakland,CA,,***,Bars and Clubs,,,,,1975
The Chalet,Bars,, 14 East 12th St.,,Oakland,CA, 14 East 12th St.,***,Bars and Clubs,,,,,1975
Zodiac Club,Bars,, 1725 S. Hill St.,,Oceanside,CA,,**,Bars and Clubs,,,,,1975
Oil Can Harry's Spa,Bars,,"68-999 Broadway, Hiway III",checked,Palm Springs,CA,,,,,,,,1975
Desert Knight Motel,Motel,,435 Avenida Olanchita.,,Palm Springs,CA,,,,,,,,1975
Desert Palms Inn,Hotel,, 67-580 Hiway III; 92262.,,Palm Springs,CA,328-9000,,,,,,,1975
Gay People's Union,Organizations,,"Box 8265, Stanford Universty; 94304.",checked,Palo Alto,CA,,,,,,Universty typo copied from scanned issue,,1975
Daily Double,Bars,, 3739 East Colorado Blvd.,,Pasadena,CA,tel. 449-8271.,****,Bars and Clubs,,,,,1975
Gay Women's Liberation,Organizations,,20b Eucalyptus; 94952.,checked,Petaluma,CA,,,,,,,,1975
Monkey Pod,Bars,,616 Mendocino Ave.,,Petaluma,CA,546-7498,*,Bars and Clubs,,,,,1975
Pennisula Gay Women's Switchboard,Organizations,,4330 Arpine,,Portola Valley,CA,,,,,,"Title ""Pennisula"" is likely a typo, spelled that way in the scanned copy. If people go to search for this place, they should also try Peninsula Gay Women's Switchboard ",,1975
Lesbian Rap Group,Organizations,,YWCA Olive St.,checked,Redlands,CA,tel. 825-9308,,,,,,,1975
Bayou Lounge,Bars,,1640 Main. ,,Redwood City,CA, tel. 365-9444. ,**,Bars and Clubs,,,,,1975
Cruiser,Bars,,2651 Camino Real,,Redwood City,CA,tel. 366-4955 . ,**,Bars and Clubs,,,,,1975
Les Girls,Bars,,1718 Broadway.,,Redwood City,CA, tel. 365.9303.,**,Bars and Clubs,,,,,1975
Pax Inn,Bars,,3201 Middleford.,,Redwood City,CA,tel. 365-9568,**,Bars and Clubs,,,,,1975
Shirley's Penalty Box,Bars,,19312 Vanowen.,,Reseda,CA,tel. 881-9206.,***,Bars and Clubs,,,,,1975
Riverside Women's Center ,Organizations,,4046 Chestnut. ,,Riverside,CA,"(lesbian rap group), tel. 787-0389.",*****,Organizations,,,,,1975
Clipper,Bars,,"9117 River Road, Forestville, Russian River",,Russian River,CA,,*,Bars and Clubs,,,,,1975
Lesbian Feminist Alliance,Organizations,,California State University; 95819,checked,Sacramento,CA,c/o Students Association,,,,,,,1975
Gay Counselling and Information Services,Organizations,,1122 17th St.,,Sacramento,CA,c/o Y.W.C.A. tel. 442-4741.,,,,,,,1975
Gay Encounter,Organizations,,Box 15763; 95813,checked,Sacramento,CA,,,,,,,,1975
Fay's,Bars,,7436 Fair Oaks Blvd.,,Sacramento,CA,tel. 481-9610.,*,Bars and Clubs,,,,,1975
Gay Center for Social Services,Organizations,," 2250 'B"" St.",,San Diego,CA,tel. (714) 232-7528. ,***,Organizations,,,,,1975
Gay Information Center,Organizations,,,checked,San Diego,CA, tel. 263-1411.,,,,,,,1975
Diablo's,Bars,,2533 El Cajon Blvd.,,San Diego,CA, tel. 298-3264.,**,Bars and Clubs,,,,,1975
Brass Rail,Bars,, 3802 Fifth Ave.,,San Diego,CA, tel. 298-2233.,**,Bars and Clubs,,,,,1975
Sexual Freedom League,Organizations,,Box 3275; 95116.,checked,San Jose,CA,,,,,,,,1975
Mac's Club,,,349 S. 1st St.,,San Jose,CA,Tel. 998-9535.,*,,,,Seems to be a bar but not labeled,,1975
Harbor,,,1035 Sunnyvale.,,San Jose,CA,Tel. 252-9443.,**,,,,Seems to be a bar but not labeled,,1975
"""Sisters""",Publications,,1005 Market St; 94103.,,San Francisco,CA,Tel. (415) 861-8689. The monthly magazine of the San Francisco D.O.B. - international in scope and full of info. on the local scene,,,,,,,1975
Gay Sunshine,Publications,,P.O. Box 40397; 94140.,checked,San Francisco,CA,Male oriented but full of useful info. ,,,,,,,1975
Sisters,Organization and Service,,1005 Market St.; 94103 (room 402),,San Francisco,CA,(S.F. - D.O.B) Tel. (415) 861-8689.,*****,Organizations,,,Should I add the room # for these two places?,,1975
Gay Women's Rap,Organization and Service,,1005 Market St. rm. 208.,,San Francisco,CA,864-216,,,,,Should I add the room # for these two places?,,1975
Gay Women's Switchboard,Organization and Service,,,checked,San Francisco,CA,Tel. (415) 771-8212.,,,,,,,1975
Gay Information Line,Organization and Service,,,checked,San Francisco,CA,Tel. (415) 621-5749,,,,,,,1975
Helping Hands Gay Community Center,Organization and Service,,,checked,San Francisco,CA,771-3366,,,,,,,1975
S.F. Woman's Switchboard,Organization and Service,,620 Sutter St.,,San Francisco,CA,"c/o Y.W.C.A., Tel. (415) 771-8212.",,,,,,,1975
Mauds ,Bars,,937 Cole St.,,San Francisco,CA,Tel .731-6119.,***,Bars and Clubs,,,,,1975
Peg's Place,Bars,,Geary and Eleventh.,checked,San Francisco,CA,Tel. 668-5050,***,Bars and Clubs,,,,,1975
Scott's ,Bars,,10 Sanchez,checked,San Francisco,CA, Tel. 626-9534,***,Bars and Clubs,,,,,1975
Wild Side West,Bars,,720 Broadway,,San Francisco,CA,,***,Bars and Clubs,,,,,1975
Kelly's Saloon,Bars,, 3489 20th Ave.,,San Francisco,CA,Tel. 285-0066,***,Bars and Clubs,,,,,1975
La Cave,Bars,, 1469 Sutter St.,,San Francisco,CA,Tel. 775-2060. ,***,Bars and Clubs,,,,,1975
Modem Times,Bookstores,,3800 17th St. ,,San Francisco,CA,"tel. 621-2675 {reading tables, free coffee and great reading material.)",,,,,,,1975
The Full Moon,Bookstores,,4416 18th St.,,San Francisco,CA,"tel. 665-7300. A unique institution: poetry readings, guest speakers, and always well stocked. ",,,,,,,1975
Gay Liberation Book Service,Bookstores,,P. O. Box 40397; 94140.,checked,San Francisco,CA,Excellent selection {free booklists).,,,,,,,1975
Penninsula Group of Concern,Organizations,,Box. 5071; 94402,checked,San Mateo,CA,tel. (415) 573-8027.,,,,,,,1975
Lavender University,University,, 121 Leavenworth,,San Francisco,CA,An independent university run by and for gay people.,,,,,,,1975
"Gay Women's Coalition (Dyke Patrol), c/o Women's Center",Organization and Service,, 429 South Sycamore,,Santa Ana,CA,tel. 836-1213.,,,,,,,1975
Radical Lesbian Feminists,Organization and Service,,"2828 N. Bristol, suite 59.",,Santa Ana,CA,,,,,,,,1975
Feminist Women's Health Center of Orange County,Organization and Service,,429 S. Sycamore St; 92701.,,Santa Ana,CA,Hotline: 547-0327; office: 836-1941,,,,,,,1975
Gay Students at Univ. of Calif. - Santa Barbara,Organizations,,"rm. 2272, University Center; 93106.",,Santa Barbara,CA,tel. (805) 968-5774.,,,,,,,1975
The Odyssey,Bars,, 221 State St. ,,Santa Barbara,CA,tel. (805) 965-4410.,,,,,,,1975
"G.S.U., Univ. of Calif. at Santa Cruz",Organizations,,Box 262; 95056,checked,Santa Cruz,CA,,,,,,,,1975
Sexual Freedom League ,,,Box. 3230; 95404.,checked,Santa Rosa,CA,,,,,,,,1975
Sausalito Inn,Bars,, 12 El Portal,,Sausalito,CA,,**,Bars and Clubs,,,,,1975
Juanita's Fetter's Hot Springs Hotel,Hotel,,Three miles north of Boyce Hot Springs.,checked,Sonoma,CA,,,,,,,,1975
Venetian Room,Bars,,3144 Pacific Coaist Hiway.,,Torrance,CA,,***,Bars and Clubs,,,,,1975
Southern Gay Liberator,Organization and Service,,Box 2118; 33432 ,checked,Boca Raton,FL,tel. (305) 391-8693. Nationwide gay/feminist book service; free catalogue.,,,,,,,1975
Lavender Fox Counseling Service ,Organization and Service,,Box 2391; 33432,checked,Boca Raton,FL,tel. (305) 391-8693,,,,,,,1975
Club Hollywood,Bars,,415 Main St.,,Daytona Beach,FL,tel. 253-9369,**,Bars and Clubs,,,,,1975
M.C.C. Mission,Organizations,,P.O. Box 632; 32922,checked,Cocoa,FL,(305) 254-1302,,,,,,,1975
Damien's Yum Yum Tree,Bars,,703 N. Ridgewood,,Daytona Beach,FL,,**,Bars and Clubs,,,,,1975
M.C.C. ,Organizations,,1127 S.W. 2nd Ct. ,,Fort Lauderdale,FL,tel. 524-0004,,,,,,,1975
Odds 'n' Ends,Bars,,3148 N.E. 12th Ave.,,Fort Lauderdale,FL,,***,Bars and Clubs,,,,,1975
Marlin Beach Hotel,Hotels/Motels,,17 S. Atlantic Blvd.,,Fort Lauderdale,FL,(Fort Lauderdale Beach),,,,,,,1975
The Tree,Bars,,656 N. Andrews Ave.,,Fort Lauderdale,FL,tel. 761-9698,**,Bars and Clubs,,,,,1975
Bela Mar,Hotels/Motels,,3801 Ocean Blvd,,Fort Lauderdale,FL,(305) 566-4376 hotel/apts. - swimming pool.,,,,,,,1975
Back Room,Bars,,800 N. Federal Hiway,,Hallandale,FL,,***,Bars and Clubs,,,,,1975
Patsy's Club,Bars,,766 E. 22th St.,,Hialeah,FL,,,,,,,,1975
Stonewall Library,Library,,P.O. Box 2084,checked,Hollywood,FL,,,,,,,,1975
Commodore,Bars,,102 E. Bay St.,,Hollywood,FL,354-5982,**,Bars and Clubs,,,,,1975
Delmonico's ,Bars,,218 Duval St.,,Key West,FL,,**,Bars and Clubs,,,,,1975
Gaiety Bar,Bars,,,checked,Key West,FL,Key West,**,Bars and Clubs,,,,,1975
Redwood Apartments,Apartments,,,checked,Key West,FL,Tel. 294-4598,,,,,,,1975
D.O.B,Organizations,,"Rt. 1, Box 110:33547",checked,Lithia,FL,Tel. Lithia 4074,*****,Organizations,,,,,1975
Lesbian Feminist Liberation ,Organizations,,405 Grand Central Ave.v,,Tampa,FL,c/o Women's Center. Tel. (813) 251-4089,*****,Organizations,,,,,1975
"""Cuco Jo's""",Bars,,1725 W. Kennedy ,,Tampa,FL,251-9453,***,Bars and Clubs,,,,,1975
Gay Line,Organization and Service,,,checked,Miami,FL,(305) 633-5013 ,,,,,,,1975
"""Gay Activities""",Organization and Service,,2175 N.W. 26th St. ,,Miami,FL,,,,,,,,1975
Carnival Bar,Bars,,137 N.E. 4th Ave.,,Miami,FL,Tel. 374-9227,**,Bars and Clubs,,,,,1975
"""Cactus Lounge""",Bars,,2041 Biscayne Road,,Miami,FL,Tel. 573-9536,**,Bars and Clubs,,,,,1975
Kay & Maria's Hideaway,Bars,,323-23rd St. ,,Miami Beach,FL,Tel. 531-9158,***,Bars and Clubs,,,,,1975
Mayflower Lounge,Bars,,1716 Alton,,Miami Beach,FL,,***,Bars and Clubs,,,,,1975
"""The Stonewall""",Bars,,211 22nd St.,,Miami Beach,FL,,**,Bars and Clubs,,,,,1975
