type,category
accommodation,Accommodations
alternative / feminist bookstores,Bookstores and Retail
"bars/clubs,baths",Bars and Nightlife
"bars/clubs,hotel,cruising areas",Bars and Nightlife
"baths,business",Bathhouses and Men's Services
"business,restaurant",Restaurants and Cafes
counseling / health / clinics / medical treatment,"Organizations, Groups, and Community Centers"
"cruising areas,hotel,bars/clubs",Bars and Nightlife
discussion group,"Organizations, Groups, and Community Centers"
gay center,"Organizations, Groups, and Community Centers"
