type,category
a.a.,"Organizations, Groups, and Community Centers"
"accommodations,cruisy areas",Accommodations
auto repair,Professional Services
"bars/clubs,erotic shop",Bars and Nightlife
"bars/clubs,restaurants and cafes",Restaurants and Cafes
"bathhouses,bars/clubs",Bars and Nightlife
"bathhouses,cruising areas",Bathhouses and Men's Services
"book store,bars/clubs",Bars and Nightlife
"book store,bars/clubs,theatre",Bars and Nightlife
"community center/support group,hotline","Organizations, Groups, and Community Centers"
