type,category
organizations and groups - including special interests,"Organizations, Groups, and Community Centers"
"organizations,hotel",Accommodations
personal contacts/housing,Accommodations
private healthcare,"Organizations, Groups, and Community Centers"
professional association,"Organizations, Groups, and Community Centers"
"publications,organization",Publications
publications/bar guides,Publications
record shop,Bookstores and Retail
religious groups and helpline,
"religious institution,hotline",Information and Emergency Services
