type,category
coffee bar,Restaurants and Cafes
coffeebar,Restaurants and Cafes
coffeehouse/bar,Restaurants and Cafes
coffeehouse/cafe,Restaurants and Cafes
coffeehouse/cultural center,Restaurants and Cafes
committee,"Organizations, Groups, and Community Centers"
"community center/ support group,publication","Organizations, Groups, and Community Centers"
"community center/support group,hotlines","Organizations, Groups, and Community Centers"
computer services,Professional Services
counseling / health services,"Organizations, Groups, and Community Centers"
