type,category
hotels/motels/guest houses/resorts,Accommodations
"hotline,community center/ support group",Information and Emergency Services
"hotline,organization",Information and Emergency Services
"hotlines,publication",Information and Emergency Services
housing project,Other or Unclear
ice cream parlor,Restaurants and Cafes
info services,Information and Emergency Services
information center,Information and Emergency Services
insurance agent,Professional Services
jeweler,Bookstores and Retail
