type,category
health / clinics / counseling,"Organizations, Groups, and Community Centers"
"health centers/counseling and therapy, etc.","Organizations, Groups, and Community Centers"
"hotel,gym,cruising areas",Other or Unclear
"hotel,restaurant,gym",Restaurants and Cafes
"hotel,travel agency",Accommodations
"hotels/guest houses,etc",Accommodations
ice cream shop,Restaurants and Cafes
introduction services,Professional Services
lawyer,Professional Services
lesbian / gay bookstore,Bookstores and Retail
