type,category
hairstyling,Professional Services
headshop,Bookstores and Retail
health center / clinic / counseling,"Organizations, Groups, and Community Centers"
health centers / services / medical practitioner and counselors / therapists,"Organizations, Groups, and Community Centers"
health collective,"Organizations, Groups, and Community Centers"
herbal medicine,"Organizations, Groups, and Community Centers"
holiday apartments,Accommodations
hotel / gay complex,Accommodations
"hotel,bars/clubs,baths",Bars and Nightlife
"hotel,bars/clubs,restaurant,baths",Restaurants and Cafes
