type,category
resort/motel,Accommodations
resorts / guest houses,Accommodations
"restaurant,bars/clubs,business",Restaurants and Cafes
"restaurant,baths,bars/clubs",Restaurants and Cafes
"restaurant,book store,business",Restaurants and Cafes
"restaurant,business,bars/clubs",Restaurants and Cafes
"restaurant,community center/support group",Restaurants and Cafes
"restaurant,cruising areas,erotic shop",Restaurants and Cafes
"restaurant,hotel,gym",Restaurants and Cafes
"restaurant,hotel,travel agency",Restaurants and Cafes
