type,category
lesbian / gay ice cream parlor,Restaurants and Cafes
lesbian / gay library,"Organizations, Groups, and Community Centers"
lesbian / gay luxury cabins-resort,Accommodations
lesbian / gay social and political group,"Organizations, Groups, and Community Centers"
lesbian / gay student organization,"Organizations, Groups, and Community Centers"
lesbian accountants,Professional Services
lesbian books mail order service,Bookstores and Retail
lesbian campgrounds,Accommodations
lesbian entertainment complex,Bars and Nightlife
lesbian feminist counseling / therapy,"Organizations, Groups, and Community Centers"
