type,category
counseling and health,"Organizations, Groups, and Community Centers"
counseling and health services,"Organizations, Groups, and Community Centers"
"counseling and health,etc","Organizations, Groups, and Community Centers"
counseling and therapy-private,"Organizations, Groups, and Community Centers"
counseling center,"Organizations, Groups, and Community Centers"
counselling/health,"Organizations, Groups, and Community Centers"
country b and b,Accommodations
country trips,Professional Services
craft market,Bookstores and Retail
crafts shop and gallery,Arts and Culture
