type,category
camp grounds,Accommodations
campground/retreat,Accommodations
camping for women,Accommodations
camping program,Accommodations
captained charted sailings,Professional Services
center/groups,"Organizations, Groups, and Community Centers"
centers / groups,"Organizations, Groups, and Community Centers"
centers and organizations,"Organizations, Groups, and Community Centers"
chemical dependency association,"Organizations, Groups, and Community Centers"
chemical dependency clinic,"Organizations, Groups, and Community Centers"
