type,category
"bars/clubs,restaurant,hotel,hotel",Restaurants and Cafes
beach,Cruising Areas
"book store,restaurant",Restaurants and Cafes
country club,Fitness and Recreation
"erotic shop,business",Adult Entertainment
escorts and model services,Bathhouses and Men's Services
groups/organizations,"Organizations, Groups, and Community Centers"
health centers / clinics / counseling / practitioners,"Organizations, Groups, and Community Centers"
health centers/clinics/counselling,"Organizations, Groups, and Community Centers"
"hotel,bars/clubs,restaurant,cruising areas",Restaurants and Cafes
