type,category
"religious institution,community center/ support group",
"restaurant,bars/clubs,bathhouses",Restaurants and Cafes
"restaurant,hotel,bars/clubs,cruising areas",Restaurants and Cafes
"restaurant,hotel,cruising areas",Restaurants and Cafes
"restaurant,hotel,travel service",Restaurants and Cafes
"restaurants and cafes,book stores or retail shops",Restaurants and Cafes
restaurants/supper clubs,Restaurants and Cafes
roommate matching services,Professional Services
salon tea,Restaurants and Cafes
sauna,Bathhouses and Men's Services
