type,category
"restaurant,hotel,travel service,bars/clubs",Restaurants and Cafes
"restaurant,theatre,bars/clubs",Restaurants and Cafes
restaurant/coffeehouse,Restaurants and Cafes
"restaurants and cafes,bars/clubs",Restaurants and Cafes
"restaurants and cafes,bookstores/retail shops",Restaurants and Cafes
"restaurants and cafes,erotica",Restaurants and Cafes
restaurants and feminist bookstore,Restaurants and Cafes
"retail shops,cruisy areas",Bookstores and Retail
retreat / vacation house,Accommodations
roller disco,Bars and Nightlife
