type,category
"accommodations,restaurants and cafes",Restaurants and Cafes
"accommodations,travel agency or tour operators",Accommodations
accomodation agency,Professional Services
activities for fat women,"Organizations, Groups, and Community Centers"
adventure,Fitness and Recreation
advertising agency,Professional Services
advertising specialties / promotional items / trophies and awards / buttons / t-shirts,Bookstores and Retail
aikido school,Fitness and Recreation
alcoholics anonymous,"Organizations, Groups, and Community Centers"
all-gay guest house,Accommodations
