type,category
lesbian feminist theater group,Arts and Culture
lesbian mothers organization,"Organizations, Groups, and Community Centers"
lesbian network,"Organizations, Groups, and Community Centers"
lesbian resort,Accommodations
lesbian resource center,"Organizations, Groups, and Community Centers"
lesbian service organization,"Organizations, Groups, and Community Centers"
lesbian social organization,"Organizations, Groups, and Community Centers"
lesbian/gay personal ads newsletter,Publications
lesbian/gay service center,"Organizations, Groups, and Community Centers"
library/archives/research facility,Arts and Culture
