type,category
other bookstores,Bookstores and Retail
other centers,"Organizations, Groups, and Community Centers"
other guest houses,Accommodations
other lesbian special interest groups,"Organizations, Groups, and Community Centers"
other services,Other or Unclear
outdoor trips,Fitness and Recreation
pamphlet and periodoical outlet,Publications
personal contact club,Bathhouses and Men's Services
political/legislative,"Organizations, Groups, and Community Centers"
private club,Bars and Nightlife
