type,category
"info lines and services,accommodations",Information and Emergency Services
legal aid,Professional Services
lesbian aa,"Organizations, Groups, and Community Centers"
lesbian bookstore,Bookstores and Retail
lesbian land,"Organizations, Groups, and Community Centers"
lesbian library,Arts and Culture
lesbian photographers,Professional Services
lesbian space,"Organizations, Groups, and Community Centers"
medical practitioners,"Organizations, Groups, and Community Centers"
music,Arts and Culture
