"title","type","address","city","state","description","stars","star.type","notes","year","unclear.address","statewide.address","mentions.race","mentions.disability","transcription.method"
"The Raven","Bars","618 Gabell","Anchorage","AK","Tel. 276-9672","**","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Village Disco","Bars","225 East 5th Avenue ","Anchorage","AK","Tel. 276-2267","**","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Metropolitan Community Church: Log Cabin Church","Religious Groups","602 W. 10th Ave.","Anchorage","AK","Tel. 333-7900","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Alaska Lesbian Feminist Alliance","Groups","1134 G Street","Anchorage","AK"," Tel. 272-4716","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Alaska Women's Bookstore","Feminist Bookstore","111 West 9th Ave.","Anchorage","AK","Tel.272-4716. Well-stocked feminist bookstore and info center. Your first stop in Anchorage. They sell GAIA'S GUIDE. Say 'hi' from GAIA. They always have info on the latest local lesbian groups, ask them about lesbian A.A., etc. ","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Constance Woolfe","Counselling/Therapy","1134 G Street","Anchorage","AK","Tel. 338-6160","","","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Juneau Women's Resource Center","Organizations","110 Seward Street, Room 6","Juneau","AK","Tel. 586-2977.","****(*)","Organizations","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"LAMBDA Hotling Gay INFO","Services","","Birmingham","AL","Tel. 251-0682","","","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"Basics","Bars","912-19th Street, North","Birmingham","AL","Tel. 254-8612.","***","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Belle's","Bars","2327 Morris Avenue","Birmingham","AL"," Tel. 254-9130. Still going?","***","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Bill's Place","Bars","208 - 23rd Street North","Birmingham","AL"," Tel. 254-8634. ","***","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"C.O.A.D. (Coming Out After Dark)","Bars","2120 Morris Avenue","Birmingham","AL","Tel. 328-2600. Disco, games, pool tables.","**","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Gizmo Lounge","Bars","909-22nd Street","Birmingham","AL","Tel. 254-8816.","**","Bars, Clubs, Coffeehouses","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
"Metropolitan Comunity Church","Religious Groups","","Birmingham","AL","corner 6th Ct. & 21st Street South (downstairs)- on the side facing 21st Street; Tel. 320-6113.","","","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"Birmingham Gay Center","Centers","","Birmingham","AL","Tel. 939-1543 (switchboard 6 pm-9 pm) + Gay A.A. meetings + other groups.","***","Organizations","",1985,"TRUE","FALSE","FALSE","FALSE","manual"
"Steak n Eggs","Restaurants","1717-10th Avenue South","Birmingham","AL","Tel. 933-9822. Acknowledged gay hangout especially after hours.","*","Restaurants","",1985,"FALSE","FALSE","FALSE","FALSE","manual"
