"title","type","address","city","state","description","stars","star.type","notes","year","unclear.address","statewide.address","mentions.race","mentions.disability","transcription.method"
"Alaska Women's Bookstore","Feminist Bookstore","2470 East Tudor Rd","Anchorage","AK","99507-(east of Tudor and Lake Otis intersection in Frontier Park Mall). -Tel. (907)562-4716. Feminist Bookstore and Local Information Center. Ask us about meetings, get togethers, conferences, groups, social activities, etc_ 'We carry women authors, women's presses and magazines, race-fair and sex-fair children's books, women's music, women's spirituality, local women's crafts, jewelry and art, large recovery section, lesbian books and -GAIA'S GUIDE_' Bulletin board for housing, jobs, services, events. We sponsor women's dances, discussion groups, films, other women's cultural events. All volunteer. say 'hi' from GAIA. ","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Alaska Women of the Wilderness","Adventure Vacations","PO Box 775226 Eagle River AK 99577","Eagle River","AK","some gay men. too.","","","",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"Village Disco","Bars","225 E 5th Ave","Anchorage","AK","Tel 276-2267","**","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Gay / Lesbian Switchboard","Information Services","","Fairbanks","AK","Tel 456 3353 Answering machine most of the time leave your number for call-back","","","",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"The Raven","Bars","618 Gambell","Anchorage","AK","Tel 276-9672","","","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Fantasies","Bars","3201-3rd Avenue S","Birmingham","AL","Tel 326-0085","**","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Bill's Private Club","Bars","208 23rd Street N","Birmingham","AL","Tel 254-8634","****","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"The Rage","Bars","620 29th Street S","Birmingham","AL","Tel 323-7243","***","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Lodestar Books","Bookstores","2020 B 11th Avenue","Mobile","AL","Tel. 939-3356 (at Five Points South). Lesbian titles and women's studies & bulletin board. ACKNOWLEDGED LOCAL INFORMATION CENTER. They sell GAIA'S GUIDE, say 'hi' from GAIA.","","Bookstores","Note to ask about bookstores as a star category even though there are no stars
",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Cheers","Bars","211 Lee Street","Montgomery","AL","Tel. 263-0703","**","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Metropolitan Community Church","Religious Groups","","Huntsville","AL","Tel 851 6220 Operates 11am-6pm Mon. -Thurs.. otherwise it's an answering machine Sunday worship is at 6pm
","","Organizations","Note - Org vs. Church - difference?
",1989,"TRUE","FALSE","FALSE","FALSE","manual"
"Skeeters","Bars","150 Lee Street","Montgomery","AL","Tel.265-8290","**","Bars, Clubs, Coffeehouses","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Metropolitan Community Church","Religious Groups","1600 Center Street","Mobile","AL","Tel. 476-9142","","Organizations","",1989,"FALSE","FALSE","FALSE","FALSE","manual"
"Vieux Carre","Bars","1204 Posey Street","Huntsville","AL","Tel.534-5970","***","Bars, Clubs, Coffeehouses","Note - Original address ""1204 Posey Streel at Cox""",1989,"TRUE","FALSE","FALSE","FALSE","manual"
