"title","type","address","city","state","description","stars","star.type","notes","year","unclear.address","statewide.address","mentions.race","mentions.disability","transcription.method"
"Society Lounge","Bars","51 South Conception","Mobile","AL","Tel.433-9191.","***","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Pete's","Bars","816 Opalika","Aubrun","AL","Pete's, ","*","Bars, Clubs, Coffeehouses","Is Aubrun a misspelling of Auburn?",1981,"","","",,"manual"
"Fireside Lounge","Bars","54 South Conception","Mobile","AL","Tel.(205) 433 9258. Disco.","**","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Rainbow","Bars","305 Randolf Street","Montgomery","AL","Tel.264-9 168. Still a very ‘in""disco.","**","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Lambda Inc.","Groups","P.O. Box 76162, 35213","Birmingham","AL","Tel.(205)251-0682","*","Organizations","",1981,"checked","","",,"manual"
"Lambda Hotline","Services","","Birmingham","AL","Tel.(205)251-0682","-","","",1981,"checked","","",,"manual"
"French Quarter","Bars","215 Conti Street","Mobile","AL","Tel.(205) 438 9139. Disco","***","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Chukker","Bars","2121 6th Street","Tuscalloosa","AL","Tel.758-9445","*","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Belle Watling's","Bars","607 North 21st Street","Birmingham","AL","Tel. (205) 252-6233. Disco and Piano Bar.","**","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Rhinestone Circus/J & B's Yumm Yumm Tree","Show-Bars","5009 Governors Drive S.W.","Huntsville","AL","Showbar/Disco Palace.","**","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Vickie's Lounge","Bars","2830 7th Avenue, 35203","Birmingham","AL","Tel.254-9194.","**","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Disco Den","Bars","122 East 4th Avenue","Anchorage","AK","Tel. 276-9554. ""Very hidden — behind a bar called ‘The Booby Trap’, in the alley.","MGM**","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Gay Community Cneter","Centers","838.5 8th Street (behind the bread factory)","Anchorage","AK","(behind the Bread Factory). Tel. 276-3909. P.O. Box 4-2791— mailing address. ""Very strong womyn's groups — regular lesbian rap sessions, meetings, etc.""","***(**)","Organizations","",1981,"","","",,"manual"
"Ruby's Relief and Rescue","Coffeehouses","c/o Alaska Women's Resource Center, 99510.","Anchorage","AK","For current details check with Alaska Women's Reosurce Center. Women's coffeehouse.","(****)","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"The Cauldron","Restaurants","328 G Street","Anchorage","AK","Tel.276-0592.Home-cooked food and live folk music. Open for lunch and dinner.","*","Restaurants","",1981,"","","",,"manual"
"Alaska Lesbians","Groups","P.O. Box 1173, 99510.","Anchorage","AK","","**","Organizations","",1981,"checked","","",,"manual"
"Jakes Place","Bars","111 West 5th Avenue","Anchorage","AK","Tel.276-9663.""O.K for Wimmin if desperate""","MGM**","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Gay Alaska","Publications","P.O. Box 1581, 99510","Anchorage","AK","One year: $7.50. Very handy,non-sexist monthly.Political in orientation with lots of lesbian news and an events calander.","-","","",1981,"checked","","",,"manual"
"Robert's Dining Room","Restaurants","646 East 5th Avenue, 99501. ","Anchorage","AK","Tel. 272-8315.","*","Restaurants","",1981,"","","",,"manual"
"Village Lounge and Disco","Bars","225 East 5th Avenue, 99501","Anchorage","AK","Tel. 276-2267.Separate women ’ s space on certain nights. Open: noon-4:30am M-F. 2pm-4:30am  weekends. Alternate phone number: 276-9160. Highly recommended.","**(**)","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Anchorage Book Mart","Bookstore","419 D Street","Anchorage","AK","Some gay titles.","-","","",1981,"","","",,"manual"
"Upstairs","Bars","","Anchorage","AK","Get address locally--private members' club--might be just gay men.","MGM**","Bars, Clubs, Coffeehouses","",1981,"checked","","",,"manual"
"Hal's Place","Bars","618 Gambell Street, 99503","Anchorage","AK","Tel.276-9672.","**","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Gay Information Services","Services","P.O. Box 812, 99510","Anchorage","AK","Tel. (907) 276-8129. Friday or Saturday from 8pm to midnight","-","","",1981,"checked","","",,"manual"
"Alaska Lesbians","Centers","c/o Alaska Women's Resource Center, 99510.","Anchorage","AK","Tel. (907) 278-9047.0pen:Monday to Friday, 9-5pm. Their publ:""Klondyke Kontact"", bimonthly. Includes events calender,local news,radio & TV.Requests input.","****(*)","Organizations","",1981,"","","",,"manual"
"The Bread Factory","Restaurants","835 I Street","Anchorage","AK","Naturalfoods tavern.","*","Restaurants","",1981,"","","",,"manual"
"Traveler's Inn","Bars","720 Gambell.","Anchorage","AK","Tel.279-2663-Just gay men?","**","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"M.C.C. of Anchorage","Religious Groups","429 Barrow Street, 99501","Anchorage","AK","Tel. (907) 272-1715. Worship Service:602 West 10th Ave. 24 hourtelephone s witchboard.A full range of social and religious activities.Lesbian participation.Their publ: ‘ Light of the North',includes a calander of events for M.C.C. activities,plus a very handy community and bar  guide titled ""Where its at"".Monthly.","-","","",1981,"","","",,"manual"
"Love Boutique","Bookstore","2621 Spenard Road","Anchorage","AK","Some gay titles.","-","","",1981,"","","",,"manual"
"Pier Street Annex","Bars","5th Avenue and Fairbanks","Anchorage","AK","","MGM**","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Antigone Books","Bookstore","415 North 4th Avenue","Tucson","AZ","Tel.(602)792-3715.Books,posters,crafts,cards from throughout the world.records,etc. Also —buttons, jewelry,greeting cards.Ticket outlet and informal referral services. They sell GAIA'S GUIDE","-","","",1981,"","","",,"manual"
"Women's Center","Women's Centers","419 South Stone","Tucson","AZ","Tel.792-1929.Very active women's center.","****","Organizations","",1981,"","","",,"manual"
"Womansplace Bookstore","Bookstore","2401 North 32nd Street","Phoenix","AZ","Tel.(602) 956-0456.""Feminist and lesbian books,  newspapers, periodicals, records, buttons, greeting cards, stickers, jewelry,etc. Three mail order booklists-lesbian, feminist, non-sexist  children's.Send a 13c stamp for each list.We sell Gaia’sGuide.""","-","","",1981,"","","",,"manual"
"Roommate Finders","Roommate Service","","Phoenix","AZ","Tel.955-6662.""We maintain a gay roomate file"". 24 hours daily. ""Quick placement and low fees.""","-","","",1981,"checked","","",,"manual"
"Mac Arthur Hotel","Hotel","345 East Toole","Tucson","AZ","Tel.622-8867.Just gay men? Report back please.","-","","",1981,"","","",,"manual"
"Full Moon","Bars","3108 East McDowell","Phoenix","AZ","Open:Mon-Fri. 10am-lam;Weekends noon-lam. Nitely disco plus live bands and gay community fund raisers.Very highly recommended.Opened in May 1978.","****","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Center for Women","Women's Centers","1202 West Thomas Avenue","Phoenix","AZ","1el-26-2492.Referrals/drop-in/library.","****","Organizations","",1981,"","","",,"manual"
"Santa Cruz Metropolitan Community Church","Religious Groups","P.O. Box 40364","Tucson","AZ","Tel.3:69719.The Christian chruch with an outreach to the gay community.--In this one, ""se habla Espanol.""","-","","Counted notes as mentioning race because they noted Spanish language speakers - not sure if that's correct",1981,"checked","","checked",,"manual"
"Free Spirit","Groups","P.O. Box 117","Tempe","AZ","Tel.(602) 966-5090. Gay services at Arizona State University. Switchboard, coffee houses, bar nites, newsletter. Helpline: 271-0125, Sat & Sun. nites from 8pm to midnight. ""Gay people helping gay people.""","**","Organizations","",1981,"checked","","",,"manual"
"His Co. Disco","Bars","3839 North 16th Street","Phoenix","AZ","Tel.248-9580.Very popular big disco.","**","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Gay Community Service","Organisation and Services","","Tucson","AZ","Tel.622-8868.","***","Organizations","",1981,"checked","","",,"manual"
"Dignity/Tucson","Religious Groups","P.O. Box 27929","Tucson","AZ","Tel.745-1812.Gay and concerned Catholics. Alternate phone number: 297-6340.","-","","",1981,"checked","","",,"manual"
"Information and Referral","Services","","Phoenix","AZ","Tel.881-1794.Daily-9 to 5.","-","","",1981,"checked","","",,"manual"
"Unlimited","Bars","2320 North 32nd Street","Phoenix","AZ","(at Oak). Tel.(602)957-9929.","****","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Sally's El Oasis","Bars","","Huachuca","AZ","Tel. (602)456-9881.Big disco.","**","Bars, Clubs, Coffeehouses","",1981,"checked","","",,"manual"
"Harem","Bar/Restaurant","4029 Washington Street","Phoenix","AZ","Tel.267-9938.","**","Bar/Restaurant","",1981,"","","",,"manual"
"Casa de Roma","Show-Bars","4331 North 16th Street","Phoenix","AZ","Tel.248-9624.","MGM**","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"M.C.C.","Religious Groups","4035 East McDowell","Phoenix","AZ","Te.273-7000.Church:4035 East McDowell.","-","","",1981,"","","",,"manual"
"New Morning Cafe","Restaurants","16th Street (just north of Thomas)","Phoenix","AZ","Tel.279-6322. Open:Mon-Thurs. 11.30am-9.00pm;Fri & Sat. 11.30am-10.00pm. Natural food.","-","","",1981,"checked","","",,"manual"
"Arizona Gay News","Publications","P.O. Box 5002","Tucson","AZ","Tel.(602)623-5268.Weekly gay newspaper--full of Arizona news and resources.","-","","",1981,"checked","","",,"manual"
"M.C.C. Tucson","Religious Groups","P.O. Box 2768","Tucson","AZ","Tel.(602) 748-8699. Regular meetings and social activities;temproary housing provided for women ony. Also dances, counselling and religious services. They sell GAIA'S GUIDE.","-","","",1981,"checked","","",,"manual"
"El Torero","Restaurants","231 East 26th Street","Phoenix","AZ","Tel.622-9534.Wonderful Mexican food--wines and beers. Open 5pm-midnight. Closed Tuesdays.","*","Restaurants","",1981,"","","",,"manual"
"Jekyll's-The Last Culture","Bars","1455 N. Miracle Mile","Tucson","AZ","Te1.(602)622-1371. ”Tucson's gayest disco and showbar for gay men and women dedicated to having a good time.""Open: Sun-Thurs.4pm-lam;Prik Sat.4pm-3am(dancing,but no alcohol after 1am).Three live shows per week and disco nltely. Very,very highly recommended**","**","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Pier 7","Bars","13th and Van Buren","Phoenix","AZ","""Large, woman-owred disco. X **# Women’s bands and tremendous potential."" Very highly recommended.","****","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"""Help Line""","Services","","Tucson","AZ","Tel.323-9373.24 hours.","-","","",1981,"checked","","",,"manual"
"Gay Information and Asistance/Phoenix","Services","","Phoenix","AZ","Tel.257-0350.Evenings-7pm-11pm.","-","","",1981,"checked","","",,"manual"
"Women's Center","Women's Centers","333 East McDowell","Phoenix","AZ","Tel.258 7 * — 9 groups,legal services,workshops,free alcohol counseling","****(*)","Organizations","",1981,"","","",,"manual"
"Sunpath Bookshop","Bookstore","6062 North 16th Street","Phoenix","AZ","Tel.265-8584. Women's books, children's books, outdoors, health","-","","",1981,"","","",,"manual"
"Arizona Women's Yellow Pages","Directory","P.O. Box 3242","","AZ","$3.00 per year.Divided into three categories:!) Women 1 Business;2) Resources available to women;]) Women'! organisations.Very very handy and nighly recommended.","-","","",1981,"checked","","",,"manual"
"Women's Line","Services","","Phoenix","AZ","Tel. 252-5152. Open: 2pm-10pm seven days. Telephone counseling,crisis coounceling,information and referals.","-","","",1981,"checked","","",,"manual"
"Women's Center","Women's Centers","9000 East Chaparral","Scottsdale","AZ","","****","Organizations","",1981,"","","",,"manual"
"Back Pocket-Joshua Tree","Bars","2921 North First Ave","Tucson","AZ","Tel.622-6233. Big disco.","**","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Gay Information/Referral","Services","","Tucson","AZ","Tel.881-1794. 9 to 5.","-","","",1981,"checked","","",,"manual"
"Car House","Bars","1418 East McDowell Road","Phoenix","AZ","Bar/cafe/disco for gay women and men. Open daily at noon. Disco till 1am/weekends till 3am. Opened December, 1979.","**","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Books Brothers, Ltd.","Bookstore","3244 East Speedway","Tucson","AZ","Tel.(602)326-3332.A new bookstore with a truly enormous range of gay and lesbian titles also  feminist books and much, much more. Open 9-9 Mon.Fri. and 9-6 on Saturdays.","-","","",1981,"","","",,"manual"
"Ozark Wimmin's Land Trust","Land Trust","Box 718, 85716","","AR","An organization of wimmin in Missouri and Arkansas who want to make more wimmen's land available and used.","-","","Listed under Arkansas, but notes give both Arkansas and Missouri as locations.",1981,"checked","","",,"manual"
"Women's Center","Centers","207 Razor Back Road","","AR","Tel.(501) 443-4998.Switchboard,Mon-Fri.9am-5pm. Their Publ: 'HARD LABOR'-quarterly newspaper.","****(*)","Organizations","",1981,"checked","","",,"manual"
"49'r Club","Bars","6413 Lankershim","North Hollywood","CA","Tel. 761-/1966. Dancing, entertainment, pool table, pin-ball, food. Warm, friendly atmosphere. Open: Mon-Thurs.lOam-2am; weekends: 24 hours. Highly recommended.","****","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Growth House","Centers","5919 Ranchito Avenue","Van Nuys","CA","Tel.787-1090. Offering: ""The Friday Night Club""--an alternative to the bars for gay women and men. Highly recommended.","***(**)","Organizations","",1981,"","","",,"manual"
"Oxwood Inn","Bars","13713 Oxnard at Woodman","Los Angeles","CA","Tel.997-9666. Entrance in the rear. (Private parking.)","***","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Sojourner","Feminist Bookstore","538 Redondo Avenue","Long Beach","CA","Tel.(213)433-5384.Books, gifts, cards, by, for and about women. Bulletin board and free monthly workshops. There’ s a large selection of lesbian titles including GAIA'S GUIDE.","-","","",1981,"","","",,"manual"
"Diamond Horseshoe","Bars","2523 East Anaheim Street","Long Beach","CA","Tel.432-4126. Disco bar/women's nights.","***","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Red Mill","Bars","115 Locust Avenue","Long Beach","CA","Tel.432-2019.Beer and wine bar. ""Serving the gay community.""","***","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Little Shrimp","Bars","1305 South Coast Highway","Laguna Beach","CA","Tel.494-4111. Piano bar.","**","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Chatterton's","Bookstore","1818 N. Vermont Avenue","Los Angeles","CA","Tel.664-_a11pm Sun. Noon-9pm. ' hodicals: Open: Mon.-","-","","",1981,"","","",,"manual"
"Green Gables Hotel","Hotel","280 Mel Avenue","Palm Springs","CA","Tel.(714)325-5270. ""We are a woman’s hotel owned by women"". Swimming pool.","-","","",1981,"","","",,"manual"
"Palms","Bars","8572 Santa Monica Boulevard","Hollywood","CA","Tel.652-6188.Recommended.","****","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Gay Community Center/Orange County","Centers","12411 Euclid","Garden Grove","CA","Tel.(714)534-3261.Hotline:(714)534-3280.Women's groups and social happenings. Referrals, counselling, library, newsletter, outreach. Many activities and sub-groups. Your essential contact 1n Orange County. Your best bet when new to Orange County. Hotline hours:6:30-10:30","***(**)","Organizations","",1981,"","","",,"manual"
"Driftwood Lounge","Bars","22170 Mission Boulevard","Hayward","CA","Tel.581-2050.Disco, light show and mist machine.","****","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Wilde/Stein Democratic Club","Political/Legislative","c/o Fresno Human Rights Coalition","Fresno","CA","Tel.(209)266-6067,Gay Democrats-women & men.","-","","",1981,"checked","","",,"manual"
"Center for Feminist Therapy","Counselling/Therapy","1640 Fifth Street","Santa Monica","CA","Tel.(213)393-9194.Lesbian therapists.","-","","",1981,"","","",,"manual"
"Queen Mary","Bars","12449 Ventura Boulevard","Studio City","CA","Drag shows. Recommended. Separate woman’s room.","**(**)","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Seaworthy Women","Vacation & Recreation","2210 Wilshire Boulevard","Santa Monica","CA","Tel.(213)397-7728.Sailing adventures for women by private charter. Cruises and sailing classes. Write to them for full details.","-","","",1981,"","","",,"manual"
"Whiskey Gulch Saloon","Bars","1951 E. University Way","Palo Alto","CA","","MGM**","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Farmer's Daughter","Bars","3674 Santa Fe","Long Beach","CA","","***(?)","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
"Club 21","Bars","2314A Monument Boulevard","Pleasant Hill","CA","Tel.689-2102.","***","Bars, Clubs, Coffeehouses","",1981,"","","",,"manual"
