type,category
coffee house,Restaurants and Cafes
coffeehouse / cafe,Restaurants and Cafes
"community center/ support group,hotline","Organizations, Groups, and Community Centers"
"community center/ support group,religious institution","Organizations, Groups, and Community Centers"
"community center/support group,organization","Organizations, Groups, and Community Centers"
counseling / therapy / health centers,"Organizations, Groups, and Community Centers"
counseling / therapy / massage,"Organizations, Groups, and Community Centers"
counseling and health services --community organized,"Organizations, Groups, and Community Centers"
counseling and psychotherapy,"Organizations, Groups, and Community Centers"
counselling and therapy,"Organizations, Groups, and Community Centers"
