type,category
"bars/clubs,baths,hotel,restaurant",Restaurants and Cafes
"bars/clubs,book store,cruising areas",Bars and Nightlife
"bars/clubs,business,cruising areas",Bars and Nightlife
"bars/clubs,business,erotic shop",Bars and Nightlife
"bars/clubs,business,hotel,restaurant",Restaurants and Cafes
"bars/clubs,gym",Bars and Nightlife
"bars/clubs,hotel,bathhouses",Bars and Nightlife
"bars/clubs,hotel,restaurant,business",Restaurants and Cafes
"bars/clubs,organizations",Bars and Nightlife
"bars/clubs,restaurant,baths",Restaurants and Cafes
