type,category
counselling institute,"Organizations, Groups, and Community Centers"
"counselors / therapists / psychologists, etc.","Organizations, Groups, and Community Centers"
"cruising areas,bars",Bars and Nightlife
"cruising areas,community center/support group","Organizations, Groups, and Community Centers"
"cruising areas,organizations,hotel",Accommodations
"cruising areas,restaurant,hotel",Restaurants and Cafes
cultural organizations,Arts and Culture
dating service,Professional Services
delicatessen,Restaurants and Cafes
disco night,Bars and Nightlife
