type,category
women's retreat,"Organizations, Groups, and Community Centers"
counselling / health / clinics / medical treatment,"Organizations, Groups, and Community Centers"
gay hotline,Information and Emergency Services
gay/lesbian center,"Organizations, Groups, and Community Centers"
health center/clinic/counselling,"Organizations, Groups, and Community Centers"
herbalist,"Organizations, Groups, and Community Centers"
organizations. etc.,"Organizations, Groups, and Community Centers"
sexual boutique,Adult Entertainment
taxi cabs,Professional Services
victim / emergency services,Information and Emergency Services
