type,category
literary group,"Organizations, Groups, and Community Centers"
lodge/disco/restaurant,Restaurants and Cafes
matching service,Professional Services
mediation consultant,Professional Services
medical care,"Organizations, Groups, and Community Centers"
medical practitioners / counselors / therapists,"Organizations, Groups, and Community Centers"
medical service,"Organizations, Groups, and Community Centers"
"men's clubs,cruising areas",Bathhouses and Men's Services
mobile feminist bookstore,Bookstores and Retail
"model agency,escort service",Bathhouses and Men's Services
