type,category
"restaurant,hotel",Restaurants and Cafes
groups,"Organizations, Groups, and Community Centers"
"hotel,restaurant",Restaurants and Cafes
bookstore,Bookstores and Retail
special interest groups,"Organizations, Groups, and Community Centers"
"bars,cruising areas",Bars and Nightlife
"restaurant,cruising areas",Restaurants and Cafes
travel agency or tour operators,Professional Services
travel and tour operators,Professional Services
information services,Information and Emergency Services
