type,category
"counseling centers/health centers, etc","Organizations, Groups, and Community Centers"
counseling/therapy,"Organizations, Groups, and Community Centers"
"cruising areas,book store,business",Bookstores and Retail
"cruising areas,book store,theatre",Other or Unclear
"cruising areas,theatre,book store",Arts and Culture
feminist restaurant,Restaurants and Cafes
feminist shop,Bookstores and Retail
groups - special interest groups,"Organizations, Groups, and Community Centers"
groups/organizations and services,"Organizations, Groups, and Community Centers"
hairdressers,Professional Services
