type,category
open lesbian land,"Organizations, Groups, and Community Centers"
"organization,book store",Bookstores and Retail
"organization,business",Other or Unclear
"organization,for review","Organizations, Groups, and Community Centers"
organization/center,"Organizations, Groups, and Community Centers"
organizations / groups / services,"Organizations, Groups, and Community Centers"
"organizations,business","Organizations, Groups, and Community Centers"
"organizations,restaurant",Restaurants and Cafes
outdoor trips for women,Fitness and Recreation
overnight accomodation,Accommodations
