type,category
groups/-- special interest groups,"Organizations, Groups, and Community Centers"
guest house referral agency,Professional Services
"gym,hotel",
hairdressing,Professional Services
healing center,"Organizations, Groups, and Community Centers"
health - centers / clinics / counselling / practitioners,"Organizations, Groups, and Community Centers"
health care,"Organizations, Groups, and Community Centers"
"health centers / counseling and therapy, etc.","Organizations, Groups, and Community Centers"
"health centers/counseling,etc","Organizations, Groups, and Community Centers"
"hotel,bathhouses,cruising areas",Bathhouses and Men's Services
