type,category
tourist and visitor information center,Information and Emergency Services
tours,Professional Services
"travel agency or tour operators,accommodations",Professional Services
"travel agency,hotel,restaurant,bars/clubs",Restaurants and Cafes
travel agent,Professional Services
"travel service,publications",Professional Services
typesetting,Professional Services
vacation accomodations,Accommodations
veterinary hospital,"Organizations, Groups, and Community Centers"
"video / cards, etc.",Bookstores and Retail
