type,category
"cruising areas,accommodations",Accommodations
"cruising areas,bars/clubs,hotel,restaurant",Restaurants and Cafes
"cruising areas,bathhouses,bars/clubs,hotel",Bars and Nightlife
"cruising areas,book store,bars/clubs",Bars and Nightlife
"cruising areas,business,erotic shop,restaurant,bars/clubs",Restaurants and Cafes
"cruising areas,campground",Accommodations
"cruising areas,erotic shop,restaurant,book store",Restaurants and Cafes
"cruising areas,erotica",Adult Entertainment
"cruising areas,hotel,restaurant",Restaurants and Cafes
"cruising areas,hotels",Accommodations
