type,category
"hotels,restaurant",Restaurants and Cafes
"hotels,restaurant,bars/clubs",Restaurants and Cafes
hotlines / emergency services for women,Information and Emergency Services
"hotlines,community center/support group",
"hotlines,organization",Information and Emergency Services
hotlines/emergency services for women,Information and Emergency Services
insurance,Professional Services
lesbian / gay community center,"Organizations, Groups, and Community Centers"
lesbian organization,"Organizations, Groups, and Community Centers"
lesbian social club,"Organizations, Groups, and Community Centers"
