type,category
gym/health club,Fitness and Recreation
"hotel,bars/clubs,cruising areas",Bars and Nightlife
lesbian group,"Organizations, Groups, and Community Centers"
restaurant/bar,Restaurants and Cafes
"cruising areas,bars/clubs,restaurant",Restaurants and Cafes
gay / lesbian center,"Organizations, Groups, and Community Centers"
gay / lesbian group,"Organizations, Groups, and Community Centers"
health center/clinic/counseling,"Organizations, Groups, and Community Centers"
organization and services,"Organizations, Groups, and Community Centers"
political group,"Organizations, Groups, and Community Centers"
