type,category
center,"Organizations, Groups, and Community Centers"
health clinic,"Organizations, Groups, and Community Centers"
escort and model services,Bathhouses and Men's Services
health center,"Organizations, Groups, and Community Centers"
erotica/adult books,Adult Entertainment
"cruising areas,organizations","Organizations, Groups, and Community Centers"
attorneys,Professional Services
"theatre,cruising areas",Arts and Culture
bars/restaurants,Restaurants and Cafes
alternative bookstore,Bookstores and Retail
