type,category
bookstore/art gallery,Arts and Culture
bookstore/cafe,Restaurants and Cafes
bookstore/feminist specialty shop,Bookstores and Retail
bookstore/publishing house,Bookstores and Retail
bookstore/records,Bookstores and Retail
"bookstores,cruisy areas",Bookstores and Retail
"bookstores/retail shops,cruisy areas",Bookstores and Retail
"bookstores/retail shops,travel/tour operators",Bookstores and Retail
bowling league,Fitness and Recreation
business association,"Organizations, Groups, and Community Centers"
