type,category
feminist bookstore and art gallery,
feminist bookstore and women's resource center,Bookstores and Retail
feminist center and bookstore,"Organizations, Groups, and Community Centers"
feminist entertainment center,"Organizations, Groups, and Community Centers"
feminist garage,Other or Unclear
feminist health clinic,"Organizations, Groups, and Community Centers"
feminist library and newsletter,Publications
feminist organization and networking center,"Organizations, Groups, and Community Centers"
feminist periodical,Publications
feminist restaurant and bookstore,Restaurants and Cafes
