type,category
"cruising areas,erotic shop,book store",Adult Entertainment
groups and organizations,"Organizations, Groups, and Community Centers"
show-bar,Bars and Nightlife
attorney's,Professional Services
"business,erotic shop",Adult Entertainment
"cruising areas,business",Professional Services
feminist store,Bookstores and Retail
clinics / health centers / counseling,"Organizations, Groups, and Community Centers"
"erotic shop,cruising areas",Adult Entertainment
"hotels / motels / guest houses / b and b, etc.",Accommodations
