"geocode.value","lon","lat","geoAddress"
"Birmingham, AL",-86.8103567,33.5185892,"birmingham, al, usa"
"Mobile, AL",-88.0398912,30.6953657,"mobile, al, usa"
"Montgomery, AL",-86.3077368,32.3792233,"montgomery, al, usa"
"Tuscaloosa, AL",-87.5658722,33.21031,"tuscaloosa, al, usa"
"Lawrence, KS",-95.2352501,38.9716689,"lawrence, ks, usa"
"Kansas City, KS",-94.6267873,39.1155314,"kansas city, ks, usa"
"Topeka, KS",-95.6751576,39.0473451,"topeka, ks, usa"
"Wichita, KS",-97.3382202,37.693452,"wichita, ks, usa"
"Anchorage, AK",-149.8996785,61.2175758,"anchorage, ak, usa"
"Tucson, AZ",-110.9741769,32.2539787,"tucson, az, usa"
"Phoenix, AZ",-112.0776781,33.4482266,"phoenix, az, usa"
"Tempe, AZ",-111.9400054,33.4255104,"tempe, az, usa"
"Duluth, MN",-92.1055411,46.7844571,"duluth, mn, usa"
"Mankato, MN",-94.0055647,44.1661456,"mankato, mn, usa"
"Minneapolis, MN",-93.2650108,44.977753,"minneapolis, mn, usa"
"Eureka Springs, AR",-93.7392889,36.4006499,"eureka springs, ar, usa"
"Little Rock, AR",-92.2880157,34.7444618,"little rock, ar, usa"
"Bakersfield, CA",-119.0204707,35.3735112,"bakersfield, ca, usa"
"Berkeley, CA",-122.273042,37.8715226,"berkeley, ca, usa"
"Davis, CA",-121.7405167,38.5449065,"davis, ca, usa"
"Costa Mesa, CA",-117.9047429,33.6638439,"costa mesa, ca, usa"
"El Monte, CA",-118.0322819,34.0726865,"el monte, ca, usa"
"Claremont, CA",-117.7197785,34.0966764,"claremont, ca, usa"
"Grover City, CA",-120.6212821,35.1216424,"grover beach, ca, usa"
"Fullerton, CA",-117.9242123,33.8703645,"fullerton, ca, usa"
"Fairfax, CA",-122.5888686,37.9871454,"fairfax, ca, usa"
"Garden Grove, CA",-117.9379952,33.7742692,"garden grove, ca, usa"
"Hollywood & North Hollywood, CA",-118.3266146,34.0907315,"hollywood, los angeles, ca, usa"
"Laguna Beach, CA",-117.7853568,33.5427189,"laguna beach, ca, usa"
"Los Angeles, CA",-118.242643,34.0549076,"los angeles, ca, usa"
"Santa Monica, CA",-118.4915504,34.0118828,"santa monica, ca, usa"
"San Gabrael, CA",-118.1058333,34.0961111,"san gabriel, ca, usa"
"Long Beach, CA",-118.1937395,33.7700504,"long beach, ca, usa"
"Van Nuys - Sherman Oaks, CA",-118.4487218,34.1698049,"van nuys, los angeles, ca, usa"
"Rendondo Beach, CA",-118.3884078,33.8491816,"redondo beach, ca, usa"
"Oxnard, CA",-119.1774639,34.1976816,"oxnard, ca, usa"
"Marin County, CA",-122.7633036,38.083403,"marin county, ca, usa"
"Modesto, CA",-120.9970014,37.6392595,"modesto, ca, usa"
"Monterey, CA",-121.8977688,36.5972925,"monterey, ca, usa"
