"city","new.city","state"
"Autaugaville","Autaugaville","AL"
"Ava","Ava","MO"
"Avenel","Avenel","NJ"
"Avon","Avon","CT"
"Avon","Avon","MA"
"Aztalan","Aztalan","WI"
"Azusa","Azusa","CA"
"Babylon","Babylon","NY"
"Babylon, L.I","Babylon, L.I","NY"
"Babylon, L.I.","Babylon, L.I.","NY"
"Bagnell","Bagnell","MO"
"Bailey","Bailey","CO"
"Bailey Island","Bailey Island","ME"
"Baileys Harbor","Baileys Harbor","WI"
"Baker City","Baker City","OR"
"Bakersfield","Bakersfield","CA"
"Bakersville","Bakersville","NC"
"Bal Harbour","Bal Harbour","FL"
"Balboa","Balboa","CA"
"Baldwin","Baldwin","NY"
"Baldwin Park","Baldwin Park","CA"
"Baldwin, L.I.","Baldwin, L.I.","NY"
"Ballard","Ballard","WA"
"Baltimore","Baltimore","MD"
"Bangor","Bangor","ME"
"Bangor","Bangor","PA"
"Bar Habor","Bar Habor","ME"
"Bar Harbor","Bar Harbor","ME"
"Barberton","Barberton","OH"
"Barboursville","Barboursville","WV"
"Barnardsville","Barnardsville","NC"
"Barnegat Light","Barnegat Light","NJ"
"Barre","Barre","MA"
"Barre","Barre","VT"
"Barrington","Barrington","NH"
"Barstow","Barstow","CA"
"Bartlesville","Bartlesville","OK"
"Bass Lake","Bass Lake","CA"
"Bastrop","Bastrop","TX"
"Bat Cave","Bat Cave","NC"
"Batesland","Batesland","SD"
"Batesville","Batesville","AR"
"Batesville","Batesville","MS"
"Bath","Bath","ME"
"Bath","Bath","NH"
"Bath Village","Bath Village","NH"
"Baton Rouge","Baton Rouge","LA"
"Battle Creek","Battle Creek","MI"
"Bay City","Bay City","MI"
"Bay Ridge","Bay Ridge","NY"
"Bay Shore","Bay Shore","NY"
"Bayamon","Bayamon","PR"
"Bayamón","Bayamón","PR"
"Bayonne","Bayonne","NJ"
"Bayshore","Bayshore","NY"
"Bayville","Bayville","NY"
"Bayville, L.I.","Bayville, L.I.","NY"
"Beachwood","Beachwood","OH"
"Beacon","Beacon","NY"
"Beacon Hill","Beacon Hill","MA"
"Beaufort","Beaufort","NC"
"Beaumont","Beaumont","TX"
"Beaver Dam","Beaver Dam","WI"
"Beaver Falls","Beaver Falls","PA"
"Beavercreek","Beavercreek","OH"
"Beaverton","Beaverton","OR"
"Beckenridge","Beckenridge","CO"
"Beckley","Beckley","WV"
"Bedford","Bedford","MA"
"Bedford","Bedford","VA"
"Belfast","Belfast","ME"
"Bell Gardens","Bell Gardens","CA"
"Bellaire","Bellaire","MI"
"Belle Fourche","Belle Fourche","SD"
"Belleville","Belleville","IL"
"Belleville","Belleville","MI"
"Belleville","Belleville","NJ"
"Bellevue","Bellevue","NE"
"Bellevue","Bellevue","WA"
"Bellflower","Bellflower","CA"
"Bellingham","Bellingham","WA"
"Bellmawr","Bellmawr","NJ"
"Bellmore","Bellmore","NY"
"Bellmore, L.I.","Bellmore, L.I.","NY"
"Bellows Falls","Bellows Falls","VT"
"Bellport","Bellport","NY"
"Belluve","Belluve","NE"
"Bellville","Bellville","IL"
"Bellwood","Bellwood","PA"
"Belmar","Belmar","NJ"
"Belmont","Belmont","MA"
"Belmont","Belmont","VT"
"Beloit","Beloit","WI"
"Belt","Belt","MT"
"Beltsville","Beltsville","MD"
"Belvidere","Belvidere","NJ"
"Bemedji","Bemedji","MN"
"Bemidji","Bemidji","MN"
"Bend","Bend","OR"
"Benecia","Benecia","CA"
"Benicia","Benicia","CA"
"Bennington","Bennington","VT"
"Benton","Benton","IL"
"Berea","Berea","OH"
"Berkeley","Berkeley","CA"
"Berkeley","Berkeley","WV"
"Berkeley Springs","Berkeley Springs","WV"
"Berkley","Berkley","CA"
"Berkley/Oakland","Berkley/Oakland","CA"
"Berkshires","Berkshires","MA"
"Berlin","Berlin","NJ"
"Berlin","Berlin","VT"
"Bernal Heights","Bernal Heights","CA"
"Bernalillo","Bernalillo","NM"
"Berne","Berne","NY"
"Berwick","Berwick","ME"
"Berwick","Berwick","PA"
"Berwin","Berwin","IL"
"Berwyn","Berwyn","IL"
"Bethany Beach","Bethany Beach","DE"
"Bethany Village","Bethany Village","DE"
"Bethel","Bethel","CT"
"Bethel","Bethel","ME"
"Bethel Park","Bethel Park","PA"
"Bethesda","Bethesda","MD"
"Bethlehem","Bethlehem","NH"
"Bethlehem","Bethlehem","NJ"
"Bethlehem","Bethlehem","PA"
"Bettendorf","Bettendorf","IA"
"Beverly Hills","Beverly Hills","CA"
"Beverly Hills","Beverly Hills","MI"
"Beverly Shores","Beverly Shores","IN"
"Bicknell","Bicknell","UT"
"Biddeford","Biddeford","ME"
"Big Bay","Big Bay","MI"
"Big Bear","Big Bear","CA"
"Big Bear Lake","Big Bear Lake","CA"
"Big Horn Basis","Big Horn Basis","WY"
"Big Rapids","Big Rapids","MI"
"Big Spring","Big Spring","TX"
"Big Sur","Big Sur","CA"
"Billings","Billings","MT"
"Biloxi","Biloxi","MS"
"Biltmore Village","Biltmore Village","NC"
"Binghampton","Binghampton","NY"
"Binghamton","Binghamton","NY"
"Birmingham","Birmingham","AL"
"Birmingham","Birmingham","MI"
"Bisbee","Bisbee","AZ"
"Bishop","Bishop","CA"
"Bismarck","Bismarck","NC"
"Bismarck","Bismarck","ND"
"Bismark","Bismark","ND"
"Black Mountain","Black Mountain","NC"
"Black River","Black River","NY"
"Black Rock","Black Rock","CT"
"Blacksburg","Blacksburg","VA"
"Blackwood","Blackwood","NJ"
"Blaine","Blaine","ME"
"Blaine","Blaine","WA"
"Blairsville","Blairsville","PA"
"Bland","Bland","VA"
"Bloomingdale","Bloomingdale","NJ"
"Bloomingdale","Bloomingdale","NY"
"Bloomington","Bloomington","CA"
"Bloomington","Bloomington","IL"
"Bloomington","Bloomington","IN"
"Blowing Rock","Blowing Rock","NC"
"Blue Island","Blue Island","IL"
"Blue Mounds","Blue Mounds","WI"
"Blue Point","Blue Point","NY"
"Blue Rapids","Blue Rapids","KS"
"Blue River","Blue River","OR"
"Bluefield","Bluefield","WV"
"Boca Grande","Boca Grande","FL"
"Boca Ration","Boca Ration","FL"
"Boca Raton","Boca Raton","FL"
"Boerum Hill","Boerum Hill","NY"
"Bohemia","Bohemia","NY"
"Boise","Boise","ID"
"Bonita Springs","Bonita Springs","FL"
"Boone","Boone","IA"
"Boone","Boone","NC"
"Boonton","Boonton","NJ"
"Boonville","Boonville","CA"
"Boonville","Boonville","MO"
"Booth Bay Harbor","Booth Bay Harbor","ME"
"Boothbay","Boothbay","ME"
"Boothbay Harbor","Boothbay Harbor","ME"
"Boquerón","Boquerón","PR"
"Bordentown","Bordentown","NJ"
"Bossier City","Bossier City","LA"
"Boston","Boston","MA"
"Boston/Cambridge","Boston/Cambridge","MA"
"Boulder","Boulder","CO"
"Boulder","Boulder","MT"
"Boulder","Boulder","UT"
"Bourne","Bourne","MA"
"Bowden","Bowden","GA"
"Bowie","Bowie","MD"
"Bowling Green","Bowling Green","KY"
"Bowling Green","Bowling Green","OH"
"Bowman","Bowman","SC"
"Boyers","Boyers","PA"
"Boyle Heights","Boyle Heights","CA"
"Boynton Beach","Boynton Beach","FL"
"Bozeman","Bozeman","MT"
"Bradenton","Bradenton","FL"
"Bradenton Beach","Bradenton Beach","FL"
"Bradford","Bradford","OH"
"Bradford","Bradford","PA"
"Bradley","Bradley","CA"
"Brainerd","Brainerd","MN"
"Brandon","Brandon","FL"
"Brandon","Brandon","VT"
"Branford","Branford","CT"
"Branson","Branson","MO"
"Brattleboro","Brattleboro","VT"
"Brattlebro","Brattlebro","VT"
"Brattlesboro","Brattlesboro","VT"
"Brawley","Brawley","CA"
"Brazil","Brazil","IN"
"Brea","Brea","CA"
"Breckenridge","Breckenridge","CO"
"Bremerton","Bremerton","WA"
"Brentwood","Brentwood","CA"
"Brentwood","Brentwood","NY"
"Brewer","Brewer","ME"
"Brewster","Brewster","MA"
"Brewster","Brewster","NY"
"Briarwood","Briarwood","NY"
"Brick Town","Brick Town","NJ"
"Bricktown","Bricktown","NJ"
"Bridgehampton","Bridgehampton","NY"
"Bridgeport","Bridgeport","CT"
"Bridgeport","Bridgeport","PA"
"Bridgeton","Bridgeton","MO"
"Bridgeville","Bridgeville","PA"
"Bridgewater","Bridgewater","NH"
"Bridgewater Corners","Bridgewater Corners","VT"
"Brigham City","Brigham City","UT"
"Brinnon","Brinnon","WA"
"Bristol","Bristol","CT"
"Bristol","Bristol","PA"
"Bristol","Bristol","RI"
"Bristol","Bristol","TN"
"Bristol","Bristol","VA"
"Brockton","Brockton","MA"
"Bronx","Bronx","NY"
"Brookfield","Brookfield","CT"
"Brookhaven","Brookhaven","MS"
"Brookings","Brookings","SD"
"Brookline","Brookline","MA"
"Brookline","Brookline","PA"
"Brooklyn","Brooklyn","IL"
"Brooklyn","Brooklyn","MI"
"Brooklyn","Brooklyn","NY"
"Brooklyn Heights","Brooklyn Heights","NY"
"Brookylyn","Brookylyn","NY"
"Broome County","Broome County","NY"
"Broward County","Broward County","FL"
"Brownsville","Brownsville","TX"
"Brunswick","Brunswick","ME"
"Brunswick","Brunswick","OH"
"Bryan","Bryan","TX"
"Bryan - College Station","Bryan - College Station","TX"
"Bryte","Bryte","CA"
"Buckhead","Buckhead","GA"
"Buckley","Buckley","IL"
"Bucyrus","Bucyrus","OH"
"Buena Park","Buena Park","CA"
"Buena Vista","Buena Vista","CO"
"Buffalo","Buffalo","NY"
"Bullhead City","Bullhead City","AZ"
"Burbank","Burbank","CA"
"Burlingame","Burlingame","CA"
"Burlington","Burlington","IA"
"Burlington","Burlington","VT"
"Burns","Burns","OR"
"Burtonsville","Burtonsville","MD"
"Butler","Butler","GA"
"Butler","Butler","NJ"
"Butler","Butler","PA"
"Butte","Butte","MT"
"Byfield","Byfield","MA"
"Cabo Rojo","Cabo Rojo","PR"
"Caguas","Caguas","PR"
"Calais","Calais","ME"
"Caldwell","Caldwell","ID"
"Caldwell","Caldwell","TX"
"Calexico","Calexico","CA"
"Caliente","Caliente","CA"
"Calistoga","Calistoga","CA"
"Calumet City","Calumet City","IL"
"Calvert","Calvert","TX"
"Cambria","Cambria","CA"
"Cambridge","Cambridge","MA"
"Camden","Camden","ME"
"Camden","Camden","NJ"
"Camden","Camden","SC"
"Campbell","Campbell","CA"
"Campbellsville","Campbellsville","KY"
"Canaseraga","Canaseraga","NY"
"Candler","Candler","NC"
"Canoga Park","Canoga Park","CA"
"Canon","Canon","GA"
"Canton","Canton","MI"
"Canton","Canton","NY"
"Canton","Canton","OH"
"Canton","Canton","TX"
"Canutillo","Canutillo","TX"
"Canyon","Canyon","TX"
"Cape Canaveral","Cape Canaveral","FL"
"Cape Charles","Cape Charles","VA"
"Cape Cod","Cape Cod","MA"
"Cape Cod Area","Cape Cod Area","MA"
"Cape Coral","Cape Coral","FL"
"Cape Elizabeth","Cape Elizabeth","ME"
"Cape Girardeau","Cape Girardeau","MO"
"Cape May","Cape May","NJ"
"Capistrano Beach","Capistrano Beach","CA"
"Capital District","Capital District","NY"
"Capitol Reef","Capitol Reef","UT"
"Captain Cook","Captain Cook","HI"
"Captain Cook, Hawaii","Captain Cook, Hawaii","HI"
"Carbondale","Carbondale","IL"
"Carbondale","Carbondale","PA"
"Carbondle","Carbondle","IL"
"Caribou","Caribou","ME"
"Carle Place","Carle Place","NY"
"Carlsbad","Carlsbad","NM"
"Carmel","Carmel","CA"
"Carmichael","Carmichael","CA"
"Carrier Circle","Carrier Circle","NY"
"Carrollton","Carrollton","GA"
"Carson City","Carson City","NV"
"Carthegena","Carthegena","OH"
"Carthegna","Carthegna","OH"
"Carversville","Carversville","PA"
"Casa Grande","Casa Grande","AZ"
"Cascade","Cascade","ID"
"Cashiers","Cashiers","NC"
"Casper","Casper","WY"
"Casselberry","Casselberry","FL"
"Castle Danger","Castle Danger","MN"
"Castro Village","Castro Village","CA"
"Castro Village- S.F.","Castro Village- S.F.","CA"
"Castroville","Castroville","CA"
"Cathedral City","Cathedral City","CA"
"Catonsville","Catonsville","MD"
"Catskill Mtns","Catskill Mtns","NY"
"Catskill Mtns.","Catskill Mtns.","NY"
"Catskills","Catskills","NY"
"Cave City","Cave City","KY"
"Cave Creek","Cave Creek","AZ"
"Cayce","Cayce","SC"
"Cazadero","Cazadero","CA"
"Cedar Crest","Cedar Crest","NM"
"Cedar Falls","Cedar Falls","IA"
"Cedar Rapids","Cedar Rapids","IA"
"Center Harbor","Center Harbor","NH"
"Center Moriches","Center Moriches","NY"
"Central Fall","Central Fall","RI"
"Central Falls","Central Falls","RI"
"Central Islip","Central Islip","NY"
"Centralia","Centralia","IL"
"Centralia","Centralia","WA"
"Centre Harbor","Centre Harbor","NH"
"Centreville","Centreville","IL"
"Century City","Century City","CA"
"Ceour d'Alene","Ceour d'Alene","ID"
"Chambersburg","Chambersburg","PA"
"Champaign","Champaign","IL"
"Champaign / Urbana","Champaign / Urbana","IL"
"Champaign/Urbana","Champaign/Urbana","IL"
"Chapel Hill","Chapel Hill","NC"
"Chapman","Chapman","NC"
"Charlemont","Charlemont","MA"
"Charleston","Charleston","SC"
"Charleston","Charleston","WV"
"Charlestown","Charlestown","NH"
"Charlestown","Charlestown","RI"
"Charlestown","Charlestown","SC"
"Charlestown","Charlestown","WV"
"Charlestown (WV)","Charlestown (WV)","WV"
"Charlestown Village","Charlestown Village","PA"
"Charlotte","Charlotte","NC"
"Charlotte Amalie","Charlotte Amalie","VI"
"Charlotte Amalie, St. Thomas","Charlotte Amalie, St. Thomas","VI"
"Charlottesville","Charlottesville","NC"
"Charlottesville","Charlottesville","VA"
"Charlottsville","Charlottsville","VA"
"Charlottte Amalie","Charlottte Amalie","VI"
"Chatanooga","Chatanooga","TN"
"Chattanooga","Chattanooga","TN"
"Chauncey","Chauncey","OH"
"Chautauqua County","Chautauqua County","NY"
"Chelan","Chelan","WA"
"Chelsea","Chelsea","MA"
"Chelsea","Chelsea","NY"
"Cherokee","Cherokee","IA"
"Cherry Grove","Cherry Grove","NY"
"Cherry Hill","Cherry Hill","MA"
"Cherry Hill","Cherry Hill","NJ"
"Cherry Valley","Cherry Valley","MA"
"Cherry Valley","Cherry Valley","NY"
"Chester","Chester","OH"
"Chester","Chester","PA"
"Chester","Chester","VT"
"Chesterfield","Chesterfield","VA"
"Chesterfield","Chesterfield","VT"
"Chesterson","Chesterson","IN"
"Chesterton","Chesterton","IN"
"Cheyenne","Cheyenne","WY"
"Chicago","Chicago","IL"
"Chicago Heights","Chicago Heights","IL"
"Chicago- Near North Side","Chicago- Near North Side","IL"
"Chicago- New Town","Chicago- New Town","IL"
"Chicago-North Side","Chicago-North Side","IL"
"Chicago-South Side","Chicago-South Side","IL"
"Chicago–Near North","Chicago–Near North","IL"
"Chicago–New Town","Chicago–New Town","IL"
"Chicago–North Side","Chicago–North Side","IL"
"Chicago–South Side","Chicago–South Side","IL"
"Chico","Chico","CA"
"Chicopee","Chicopee","MA"
"Chillicothe","Chillicothe","OH"
"Chimayo","Chimayo","NM"
"Chipita Park","Chipita Park","CO"
"Chittango","Chittango","NY"
"Chittenango","Chittenango","NY"
"Chocorua","Chocorua","NH"
"Christensted","Christensted","VI"
"Christiansburg","Christiansburg","VA"
"Christiansted","Christiansted","VI"
"Christiansted, St Croix","Christiansted, St Croix","VI"
"Christiansted, St. Croix","Christiansted, St. Croix","VI"
"Chugiak","Chugiak","AK"
"Chula Vista","Chula Vista","CA"
"Cicero","Cicero","IL"
"Cincinatti","Cincinatti","OH"
"Cincinnati","Cincinnati","OH"
"Ciudad Juarez","Ciudad Juarez","Mexico"
"Ciudad Juarez","Ciudad Juarez","TX"
"Clam Gulch","Clam Gulch","AK"
"Clare","Clare","MI"
"Claremont","Claremont","CA"
"Claremore","Claremore","OK"
"Clarence Center","Clarence Center","NY"
"Clarksburg","Clarksburg","VA"
"Clarksburg","Clarksburg","WV"
"Clarksburg (WV)","Clarksburg (WV)","WV"
"Clarksville","Clarksville","IN"
"Clarksville","Clarksville","TN"
"Claymont","Claymont","DE"
"Clayton","Clayton","MO"
"Cle Elum","Cle Elum","WA"
"Clear Lake","Clear Lake","CA"
"Clear Lake Oaks","Clear Lake Oaks","CA"
"Clearlake","Clearlake","CA"
"Clearlake Oaks","Clearlake Oaks","CA"
"Clearwater","Clearwater","FL"
"Cleveland","Cleveland","OH"
"Cleveland","Cleveland","TN"
"Cleveland Heights","Cleveland Heights","OH"
"Cleveland Hts","Cleveland Hts","OH"
"Cliffside Park","Cliffside Park","NJ"
"Clifton","Clifton","NJ"
"Clifton","Clifton","OH"
"Clifton Forge","Clifton Forge","VA"
"Clifton Park","Clifton Park","NY"
"Clinton","Clinton","IA"
"Clinton","Clinton","MI"
"Clinton","Clinton","WI"
"Clinton Township","Clinton Township","MI"
"Clio","Clio","MI"
"Cloudcroft","Cloudcroft","NM"
"Cloverdale","Cloverdale","CA"
"Clovis","Clovis","CA"
"Clovis","Clovis","NM"
"Clyde","Clyde","OH"
"Coamo","Coamo","PR"
"Coca","Coca","FL"
"Cockeysville","Cockeysville","MD"
"Cocoa","Cocoa","FL"
"Cocoa Beach","Cocoa Beach","FL"
"Coconut Grove","Coconut Grove","FL"
"Coconut Plantation, Kauai","Coconut Plantation, Kauai","HI"
"Coeur D'Alene","Coeur D'Alene","ID"
"Coeur D'alene","Coeur D'alene","ID"
"Coeur d'Alene","Coeur d'Alene","ID"
"Coffeyville","Coffeyville","KS"
"Cold Spring","Cold Spring","NY"
"Coldwater","Coldwater","MI"
"Colebrook","Colebrook","NH"
"College Park","College Park","FL"
"College Park","College Park","GA"
"College Park","College Park","MD"
"College Station","College Station","TX"
"Collegeville","Collegeville","PA"
"Collingswood","Collingswood","NJ"
"Collingwood","Collingwood","NJ"
"Collinsville","Collinsville","CT"
"Coloma","Coloma","MI"
"Colonial Beach","Colonial Beach","VA"
"Colony","Colony","KS"
"Colorado Springs","Colorado Springs","CO"
"Colrain","Colrain","MA"
"Colrain","Colrain","ME"
"Columbia","Columbia","CA"
"Columbia","Columbia","MD"
"Columbia","Columbia","MO"
"Columbia","Columbia","NC"
"Columbia","Columbia","OH"
"Columbia","Columbia","RI"
"Columbia","Columbia","SC"
"Columbia City","Columbia City","IN"
"Columbia Hills","Columbia Hills","NH"
"Columbus","Columbus","FL"
"Columbus","Columbus","GA"
"Columbus","Columbus","IN"
"Columbus","Columbus","MS"
"Columbus","Columbus","NE"
"Columbus","Columbus","OH"
"Columbus","Columbus","TX"
"Commack","Commack","NY"
"Compton","Compton","CA"
"Concord","Concord","CA"
"Concord","Concord","NH"
"Condado","Condado","PR"
"Coney Island","Coney Island","NY"
"Congers","Congers","NY"
"Conneaut","Conneaut","OH"
"Conneaut Lake","Conneaut Lake","PA"
"Conroe","Conroe","TX"
"Conshohoken","Conshohoken","PA"
"Contocook","Contocook","NH"
"Contoocook","Contoocook","NH"
"Contookook","Contookook","NH"
"Convent Station","Convent Station","NJ"
"Conway","Conway","AR"
"Conway","Conway","NH"
"Coopersburg","Coopersburg","PA"
"Cooperstoown","Cooperstoown","PA"
"Cooperstown","Cooperstown","NY"
"Cooperstown","Cooperstown","PA"
"Coos Bay","Coos Bay","OR"
"Coos Bay--North Bend","Coos Bay--North Bend","OR"
"Coos Bay-North Bend","Coos Bay-North Bend","OR"
"Copaigue","Copaigue","NY"
"Copiague","Copiague","NY"
"Copiaque","Copiaque","NY"
"Coral Gables","Coral Gables","FL"
"Coralville","Coralville","IA"
"Corea","Corea","ME"
"Corea Harbor","Corea Harbor","ME"
"Corning","Corning","NY"
"Cornwell Heights","Cornwell Heights","PA"
"Cornwells Heights","Cornwells Heights","PA"
"Corona","Corona","CA"
"Corona Del Mar","Corona Del Mar","CA"
"Corozal","Corozal","PR"
"Corpus Christi","Corpus Christi","TX"
"Corpus Christie","Corpus Christie","TX"
"Corrales","Corrales","NM"
"Corte Madera","Corte Madera","CA"
"Cortland","Cortland","NY"
"Corvallis","Corvallis","OR"
"Corwin Springs","Corwin Springs","MT"
"Coshocton","Coshocton","OH"
"Costa Mesa","Costa Mesa","CA"
"Cotati","Cotati","CA"
"Cottondale","Cottondale","FL"
"Cottonwood","Cottonwood","AZ"
"Counce","Counce","TN"
"Council Bluffs","Council Bluffs","IA"
"Covelo","Covelo","CA"
"Covent Station","Covent Station","NJ"
"Covina","Covina","CA"
"Covington","Covington","KY"
"Cowan","Cowan","TN"
"Cranston","Cranston","RI"
"Craryville","Craryville","NY"
"Crescent City","Crescent City","CA"
"Crescent City","Crescent City","FL"
"Cresson","Cresson","OR"
"Cresson","Cresson","PA"
"Crest","Crest","MS"
"Crested Butte","Crested Butte","CO"
"Crestview","Crestview","FL"
"Crestwood","Crestwood","IL"
"Crofton Falls","Crofton Falls","NY"
"Crosses","Crosses","AR"
"Crossett","Crossett","AR"
"Croton Falls","Croton Falls","NY"
"Croton-on-Hudson","Croton-on-Hudson","NY"
"Crown Point","Crown Point","IN"
"Cruz Bay, St. John","Cruz Bay, St. John","VI"
"Cuba","Cuba","NY"
"Cuidad Juarez, Mexico","Cuidad Juarez, Mexico","TX"
"Culber City","Culber City","CA"
"Culpeper","Culpeper","VA"
"Culpepper","Culpepper","VA"
"Culver City","Culver City","CA"
"Cumberland","Cumberland","MD"
"Cupertino","Cupertino","CA"
"Cuttyhunk Island","Cuttyhunk Island","MA"
"Dade City","Dade City","FL"
"Dade County","Dade County","FL"
"Dahlonega","Dahlonega","GA"
